# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = ModeloQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/sin_jer.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_3.json
# random
#   seed = 922872934 (Default)
# output
#   file = /scratch/juandiaz/sinjer/sin_jer_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 v2.26.1-334-g9c6819aa
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,alpha
# Adaptation terminated
# Step size = 0.27648
# Diagonal elements of inverse mass matrix:
# 0.000103892, 6.37614e-05, 6.14371e-05, 3.0379e-05, 3.55717e-05, 3.57923e-05, 3.42403e-05, 3.15127e-05, 3.69996e-05, 3.9769e-05, 3.42204e-05, 3.22197e-05, 3.4402e-05, 3.39951e-05, 2.11977e-05, 2.35521e-05, 2.42896e-05, 2.28432e-05, 2.459e-05, 2.40432e-05, 2.45533e-05
-352165,0.979288,0.27648,4,15,0,352176,-3.07061,-2.5093,0.0301089,-0.056079,-0.0166903,-0.0240102,-0.0349491,0.00555429,-0.043976,0.0604701,0.00640946,0.0156612,0.00355231,0.0142595,-0.0122058,0.0225705,-0.038647,-0.00921631,-0.00591513,-0.0234987,-0.0294252,1.35133
-352165,0.944904,0.27648,4,15,0,352178,-3.07967,-2.51183,0.0302948,-0.0519096,-0.027905,-0.0157083,-0.0327133,0.010743,-0.0531275,0.0676743,0.000504421,0.0106812,0.0131589,0.0133799,-0.0123579,0.0228171,-0.0390389,-0.00504721,-0.0060464,-0.0222283,-0.0291031,1.35384
-352158,0.963237,0.27648,3,15,0,352174,-3.09105,-2.51931,0.0304571,-0.0615896,-0.0254166,-0.0108414,-0.0327259,0.00644004,-0.0496475,0.0649834,-0.00137159,0.0119215,0.00198769,0.0148917,-0.00866021,0.0276122,-0.0385632,-0.00504665,-0.00862847,-0.0176907,-0.0280078,1.35604
-352159,0.613135,0.27648,4,15,0,352176,-3.07851,-2.51562,0.0303013,-0.0551587,-0.0239427,-0.00945603,-0.021567,0.0024692,-0.0458585,0.0692,0.00299603,0.0127457,0.00111208,0.0140513,-0.00810613,0.0282578,-0.0350974,-0.00531859,-0.008593,-0.0202453,-0.0256577,1.35393
-352157,0.949377,0.27648,4,15,0,352168,-3.07934,-2.51317,0.030212,-0.0640336,-0.019003,-0.014261,-0.0252681,-0.00126191,-0.0594431,0.0612634,0.00428013,0.0265791,-7.56253e-05,0.0192093,-0.00956612,0.0276696,-0.0358157,-0.00174032,-0.0108905,-0.0215774,-0.0289604,1.35272
-352158,0.884566,0.27648,4,15,0,352171,-3.08045,-2.51355,0.0303641,-0.0513163,-0.0160946,-0.00914892,-0.025973,-0.000771061,-0.0553657,0.0664415,-0.0102708,0.00960701,0.00663728,0.00620202,-0.0105083,0.0233013,-0.0346044,0.00377045,-0.00540804,-0.021652,-0.0244434,1.35478
-352157,0.542529,0.27648,4,15,0,352170,-3.08605,-2.52261,0.0304513,-0.0547989,-0.0162801,-0.0146491,-0.0243221,0.00413082,-0.0554538,0.0579102,-0.000730458,0.00887809,0.00709741,0.0100319,-0.00842397,0.0206898,-0.0343763,0.00145911,-0.0095555,-0.0246833,-0.0227168,1.35597
-352156,0.93361,0.27648,4,15,0,352168,-3.07887,-2.51745,0.0303018,-0.0605616,-0.015507,-0.0130323,-0.0333778,-0.0054142,-0.0563436,0.0641085,-0.00358538,0.0206898,-0.00583593,0.0122526,-0.0104582,0.0318061,-0.0379472,-0.00228033,-0.00697091,-0.0198333,-0.0279596,1.35394
-352156,0.823585,0.27648,4,15,0,352166,-3.08397,-2.51665,0.0303978,-0.0553223,-0.0173165,-0.0119597,-0.0255606,0.00458544,-0.0527548,0.0588939,-0.00343928,0.0160102,0.010567,0.0118212,-0.00834301,0.0191968,-0.0339616,0.00138077,-0.00774951,-0.0253612,-0.0222998,1.35524
-352158,0.95897,0.27648,4,15,0,352164,-3.07955,-2.51865,0.0303935,-0.0624474,-0.0156455,-0.0167298,-0.0369861,-0.00849084,-0.0523025,0.0637684,0.00144828,0.0187517,-0.00262257,0.00718452,-0.00717608,0.0210398,-0.0340738,-0.00191536,-0.00682235,-0.0197633,-0.0239057,1.35518
-352165,0.891455,0.27648,4,15,0,352173,-3.07404,-2.50795,0.030152,-0.0623901,-0.0212941,-0.0254274,-0.0363843,-0.0051857,-0.0475187,0.0542467,-0.0120267,0.0135601,0.00136415,0.0119179,-0.00655294,0.0269032,-0.0368664,0.00657713,-0.00658922,-0.0232108,-0.0183974,1.35191
-352164,0.986053,0.27648,4,15,0,352178,-3.0746,-2.51114,0.0302195,-0.0637197,-0.0177788,-0.0235093,-0.0354077,-0.00546514,-0.0492648,0.0543304,-0.0124763,0.0150879,0.00266297,0.010876,-0.00466958,0.0250888,-0.040319,0.00732727,-0.00725407,-0.0214414,-0.0206034,1.35283
-352164,0.718968,0.27648,4,15,0,352172,-3.09378,-2.51887,0.0304401,-0.05602,-0.0144115,-0.000807461,-0.0238125,0.00440692,-0.0596748,0.0686981,0.00489062,0.0203418,0.00362046,0.0115132,-0.0136649,0.0285024,-0.0324082,-0.0081958,-0.00960262,-0.0228663,-0.0292204,1.35581
-352166,0.98423,0.27648,4,15,0,352174,-3.08712,-2.51086,0.0303965,-0.0620396,-0.0171351,-0.0236208,-0.0349896,-0.00602665,-0.0497534,0.0542653,-0.0118482,0.0140949,0.00148443,0.0117906,-0.00436008,0.0232021,-0.0386001,0.0092717,-0.00718408,-0.0214952,-0.0220454,1.35522
-352165,0.91304,0.27648,4,15,0,352179,-3.08838,-2.51444,0.0304943,-0.0542794,-0.0186984,-0.00124668,-0.0275797,0.00313638,-0.0611493,0.0697187,0.00404425,0.0198153,0.0045965,0.0104451,-0.0160659,0.0291044,-0.0336078,-0.00968349,-0.00918717,-0.0229663,-0.0282544,1.35655
-352166,1,0.27648,4,15,0,352175,-3.09046,-2.52826,0.0307635,-0.053735,-0.0181006,-0.0216561,-0.0282202,-0.00608439,-0.0476871,0.0574389,-0.015234,0.0162419,0.00330106,0.00878154,-0.00631676,0.021455,-0.0379923,0.00585182,-0.00949339,-0.0166034,-0.0258487,1.3602
-352164,0.690922,0.27648,4,15,0,352177,-3.0717,-2.51465,0.0301515,-0.0633353,-0.0141783,-0.00219892,-0.031516,0.00532914,-0.0612607,0.065647,0.00787649,0.0209383,0.00282953,0.0154078,-0.0122389,0.0312307,-0.0349784,-0.00820516,-0.00950531,-0.0280863,-0.0252464,1.35191
-352165,0.912632,0.27648,4,15,0,352178,-3.06912,-2.50395,0.0300407,-0.0535299,-0.0155173,-0.0192409,-0.0333771,-0.00322602,-0.0470444,0.0623569,-0.0121684,0.0157163,0.000715562,0.00449252,-0.00171852,0.0211101,-0.0378403,0.00494641,-0.00448068,-0.016527,-0.021649,1.35041
-352163,0.949607,0.27648,4,15,0,352178,-3.09119,-2.52582,0.0306069,-0.0597343,-0.0247252,-0.00829405,-0.0278433,0.00541298,-0.0574515,0.0627463,-0.00122505,0.0174516,0.00389361,0.0218844,-0.00160859,0.0253212,-0.0345383,0.00374858,-0.014123,-0.0289353,-0.0288344,1.35808
-352163,1,0.27648,4,15,0,352173,-3.09441,-2.52232,0.0306143,-0.062381,-0.0252252,-0.0139747,-0.020685,0.00140792,-0.052549,0.0678857,-0.00257218,0.019296,-0.00478572,0.0229904,-0.00449306,0.0218955,-0.0352102,0.00274721,-0.00657994,-0.0247501,-0.0230712,1.35818
-352155,0.985159,0.27648,4,15,0,352169,-3.08066,-2.51981,0.0303522,-0.0632054,-0.0156531,-0.0150153,-0.029913,0.00243814,-0.055471,0.065885,-0.00698638,0.02055,-0.00223523,0.0113303,-0.010635,0.0243728,-0.0302948,0.00270469,-0.0102731,-0.0221264,-0.0245825,1.35462
-352156,0.76623,0.27648,4,15,0,352173,-3.0716,-2.51139,0.0302681,-0.0560135,-0.0133378,-0.0121492,-0.0301498,-0.00283138,-0.0541783,0.0562374,-0.000361589,0.0154967,0.00780804,0.0114963,-0.00695878,0.0283145,-0.0378005,0.0021382,-0.00663517,-0.0257917,-0.020831,1.35348
-352155,0.999932,0.27648,4,15,0,352161,-3.07274,-2.51007,0.0300356,-0.0629495,-0.0152393,-0.0123508,-0.0318287,0.00126552,-0.0574357,0.0630519,-0.0021076,0.0143165,0.0061651,0.0108332,-0.00567473,0.0285176,-0.0372498,-0.00378812,-0.00425585,-0.0227936,-0.0214099,1.35034
-352159,0.916931,0.27648,4,15,0,352166,-3.07566,-2.51368,0.0301688,-0.0600403,-0.0246867,-0.0136496,-0.0347116,-0.00767201,-0.0519701,0.0618346,-0.0120975,0.0239022,0.00141291,0.0116303,-0.00709208,0.0244764,-0.0405224,0.00251412,-0.0119062,-0.0189188,-0.0249836,1.35214
-352159,0.920517,0.27648,4,15,0,352168,-3.08319,-2.51933,0.0305016,-0.0568129,-0.0213335,-0.0105811,-0.0288388,-0.000367598,-0.0534534,0.063043,-0.0054629,0.0261485,-0.00180329,0.0140063,-0.00870647,0.0236364,-0.0400228,0.00690222,-0.0128095,-0.0182698,-0.0269381,1.35665
-352162,0.806739,0.27648,4,15,0,352171,-3.08839,-2.52379,0.0306326,-0.0528392,-0.0206811,-0.00758276,-0.0278969,-0.0024302,-0.0571779,0.0699784,-0.00310505,0.0256626,-0.00135674,0.00437991,-0.0109169,0.027362,-0.0425862,-0.00478127,-0.00156334,-0.0253322,-0.0255813,1.35843
-352163,0.997159,0.27648,4,15,0,352173,-3.08412,-2.52151,0.0303965,-0.068412,-0.0102048,-0.0167345,-0.0301103,-0.000450582,-0.0519875,0.0531377,-0.00477844,0.010948,0.00568285,0.0193037,-0.0081598,0.0235469,-0.0301485,0.00451615,-0.0154757,-0.0190196,-0.0255766,1.35522
-352162,0.987692,0.27648,4,15,0,352174,-3.09238,-2.52026,0.0304587,-0.0576338,-0.0143014,-0.0121469,-0.0252198,0.000966781,-0.059045,0.0697931,0.0010417,0.0126642,0.00486143,0.0121214,-0.00937373,0.0237972,-0.0396809,-0.0107896,-0.00244037,-0.0256586,-0.02922,1.35606
-352164,0.953925,0.27648,4,15,0,352175,-3.06724,-2.50762,0.0300323,-0.060568,-0.0123173,-0.0100055,-0.0356868,-0.0020151,-0.0507516,0.0664074,-0.0107119,0.0224391,-0.000681463,0.0106154,-0.00179229,0.0237932,-0.0443453,0.00326749,-0.00106639,-0.0260702,-0.0226345,1.3503
-352160,0.941435,0.27648,4,15,0,352175,-3.09299,-2.52667,0.030584,-0.0585298,-0.0210577,-0.0146756,-0.0219071,0.00121017,-0.0590089,0.0560375,0.00361447,0.0139187,0.00346725,0.0119586,-0.0164225,0.0296579,-0.0331261,-0.000600738,-0.0123126,-0.0190899,-0.0285687,1.35776
-352163,0.875113,0.27648,4,15,0,352174,-3.09155,-2.51939,0.0306325,-0.0609805,-0.0133548,-0.00941341,-0.0382233,0.00329167,-0.0470632,0.0676674,-0.0106531,0.0190776,0.00254114,0.00957523,-0.000288848,0.0234127,-0.039367,-0.000813765,-0.00412542,-0.0252402,-0.0229502,1.35842
