lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,alpha
# Adaptation terminated
# Step size = 0.270012
# Diagonal elements of inverse mass matrix:
# 0.000100163, 6.76743e-05, 6.93655e-05, 3.01255e-05, 3.4965e-05, 3.51349e-05, 3.56427e-05, 3.62159e-05, 3.00141e-05, 3.80831e-05, 3.42307e-05, 3.44508e-05, 3.47473e-05, 3.2651e-05, 2.37133e-05, 2.3712e-05, 2.10431e-05, 2.51543e-05, 2.33453e-05, 2.21661e-05, 2.6378e-05
-352161,0.943056,0.270012,4,15,0,352173,-3.07146,-2.50638,0.0300006,-0.0516542,-0.0162728,-0.00994488,-0.0276242,-0.00584648,-0.0564007,0.0723027,-0.00506859,0.0157987,0.00850419,0.0169242,-0.0118829,0.0247087,-0.0363947,-0.00225075,5.10174e-05,-0.0212676,-0.0219916,1.34987
-352162,0.963772,0.270012,4,15,0,352168,-3.07396,-2.50633,0.0302066,-0.0654082,-0.0189657,-0.0150431,-0.0291379,0.0076111,-0.0508758,0.0474688,-0.00188415,0.0201574,-0.000224886,0.00804079,-0.00650894,0.0274469,-0.0356142,0.000928688,-0.0161476,-0.0223171,-0.0281589,1.35265
-352157,0.863233,0.270012,3,7,0,352169,-3.07672,-2.51235,0.0303045,-0.0611156,-0.0186697,-0.0135612,-0.0243033,0.00656983,-0.0517541,0.0562421,-0.00443981,0.0221252,-0.000558358,0.019184,-0.0120124,0.0300576,-0.036928,-0.00144787,-0.0125672,-0.0245058,-0.0246408,1.35398
-352165,0.735038,0.270012,3,7,0,352174,-3.07215,-2.51017,0.0302892,-0.0639829,-0.0133591,-0.00741566,-0.0304089,-0.00985525,-0.0621005,0.049788,0.000427535,0.0249411,-0.00452593,0.0132085,-0.0106134,0.0327993,-0.0366142,-0.00210766,-0.0086221,-0.0280679,-0.0283508,1.35377
-352164,0.994124,0.270012,4,15,0,352175,-3.07842,-2.5139,0.0302059,-0.054139,-0.0178419,-0.0163949,-0.0284904,0.00900284,-0.0471517,0.0720014,-0.00812573,0.0116068,0.00964346,0.00959041,-0.00596596,0.0188926,-0.0348019,-0.00292458,-0.00673918,-0.015721,-0.0238865,1.35264
-352164,0.88805,0.270012,4,15,0,352182,-3.06602,-2.5028,0.0300288,-0.0639472,-0.011929,-0.0144755,-0.0325125,-0.00176072,-0.0615319,0.0489566,0.000633752,0.0288982,-0.00225014,0.0148196,-0.00663397,0.0330186,-0.0360838,-0.00122567,-0.00985942,-0.0272102,-0.0248395,1.35025
-352162,0.977074,0.270012,4,15,0,352179,-3.07147,-2.51374,0.0301136,-0.055714,-0.0194314,-0.00836148,-0.0267471,0.00093782,-0.0479094,0.0730097,-0.00914865,0.00883473,0.00882379,0.010706,-0.0107332,0.019749,-0.0357274,-0.000631701,-0.00710207,-0.017793,-0.0280982,1.35139
-352156,0.994406,0.270012,4,15,0,352167,-3.07892,-2.50971,0.030118,-0.0653787,-0.018397,-0.00869719,-0.0240441,9.88169e-05,-0.0594939,0.0608934,-0.0006979,0.022835,0.00267781,0.0113299,-0.00910145,0.0304308,-0.0359023,-0.00275163,-0.00759743,-0.0234927,-0.0210327,1.35145
-352157,0.964414,0.270012,4,15,0,352168,-3.0741,-2.50545,0.0301166,-0.0526856,-0.0129889,-0.0166492,-0.0339762,0.00102597,-0.0496781,0.0625611,-0.00685453,0.0143285,0.0040965,0.0117281,-0.0105846,0.0205395,-0.0341676,0.00279976,-0.00820399,-0.0203004,-0.0255291,1.35143
-352157,0.910779,0.270012,4,15,0,352168,-3.07751,-2.50597,0.0300909,-0.0650156,-0.0197718,-0.00769087,-0.0260863,-0.00109208,-0.0557796,0.0610371,-0.000101193,0.0229633,0.00250461,0.00766259,-0.00738861,0.03141,-0.0376874,-0.00302894,-0.00887237,-0.0245929,-0.0262559,1.35109
-352164,0.892198,0.270012,3,15,0,352169,-3.06927,-2.517,0.030302,-0.0627497,-0.0145375,-0.0116711,-0.02943,-0.000231269,-0.0520386,0.0676271,0.00312176,0.00663486,0.000140201,0.00427971,-0.0146637,0.0251891,-0.0400963,-0.00523838,-0.00918624,-0.0159247,-0.0220867,1.35394
-352161,0.799173,0.270012,4,15,0,352176,-3.08198,-2.52246,0.0303217,-0.0561526,-0.0180935,-0.0128844,-0.0287022,-0.000371148,-0.0575855,0.0544939,-0.0101509,0.0308323,0.00585245,0.0188049,-0.00758086,0.028112,-0.0340518,0.00159974,-0.00889283,-0.0256798,-0.0279335,1.35421
-352168,0.900456,0.270012,4,15,0,352180,-3.09036,-2.5205,0.0303682,-0.0699009,-0.0207211,-0.00476005,-0.0246194,0.00461819,-0.0451127,0.063516,0.0133564,0.0227406,-0.00182367,0.0124804,-0.0105253,0.0225155,-0.0340418,0.00151905,-0.0100914,-0.0236388,-0.0196422,1.35484
-352167,1,0.270012,4,15,0,352178,-3.08229,-2.51394,0.0301688,-0.0526227,-0.00812007,-0.0190381,-0.0284252,-0.000700448,-0.0631325,0.0620146,-0.0190892,0.0199109,0.00313646,0.0147936,-0.00998357,0.0282367,-0.0396358,-0.00522246,-0.000548933,-0.0246779,-0.0238352,1.35214
-352165,0.919576,0.270012,3,15,0,352178,-3.07448,-2.52312,0.0305465,-0.0616787,-0.0141546,-0.0137826,-0.0307725,-0.00287234,-0.0593735,0.0539894,-0.0171719,0.0196703,-0.00083161,0.0120731,-0.00640823,0.0289688,-0.0367999,-0.00499029,5.31771e-05,-0.0213103,-0.0265357,1.35726
