lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,mu_l_raw.1,mu_l_raw.2,mu_l_raw.3,mu_l_raw.4,mu_l_raw.5,mu_l_raw.6,mu_l_raw.7,mu_l_raw.8,mu_l_raw.9,mu_l_raw.10,mu_l_raw.11,mu_l_raw.12,mu_l_raw.13,mu_l_raw.14,mu_l_raw.15,mu_l_raw.16,mu_l_raw.17,mu_l_raw.18,mu_l_raw.19,mu_l_raw.20,mu_l_raw.21,mu_l_raw.22,mu_l_raw.23,mu_l_raw.24,mu_l_raw.25,mu_l_raw.26,mu_l_raw.27,mu_l_raw.28,mu_l_raw.29,mu_l_raw.30,mu_l_raw.31,mu_l_raw.32,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,tau,stdnormal,alpha,mu_l.1,mu_l.2,mu_l.3,mu_l.4,mu_l.5,mu_l.6,mu_l.7,mu_l.8,mu_l.9,mu_l.10,mu_l.11,mu_l.12,mu_l.13,mu_l.14,mu_l.15,mu_l.16,mu_l.17,mu_l.18,mu_l.19,mu_l.20,mu_l.21,mu_l.22,mu_l.23,mu_l.24,mu_l.25,mu_l.26,mu_l.27,mu_l.28,mu_l.29,mu_l.30,mu_l.31,mu_l.32,sigma
# Adaptation terminated
# Step size = 0.0662084
# Diagonal elements of inverse mass matrix:
# 0.000941028, 5.77748e-05, 0.141539, 0.0955838, 0.234035, 0.199899, 0.159624, 0.0619395, 0.0952501, 0.176583, 0.129862, 0.0637131, 0.081159, 0.0703672, 0.0551419, 0.0611531, 0.0431113, 0.0707729, 0.163366, 0.161189, 0.0784539, 0.0960809, 0.0628658, 0.0987991, 0.111421, 0.0828474, 0.0839283, 0.0638973, 0.085995, 0.150564, 0.0846081, 0.0617237, 0.0891988, 0.115701, 6.06297e-05, 3.33746e-05, 3.68396e-05, 3.60886e-05, 3.73737e-05, 3.24339e-05, 3.63652e-05, 3.59059e-05, 3.83072e-05, 3.2133e-05, 3.41416e-05, 3.60413e-05, 2.4407e-05, 2.28305e-05, 2.25992e-05, 2.20334e-05, 2.33213e-05, 2.40334e-05, 2.33264e-05, 0.497113, 0.15311
-351874,0.863076,0.0662084,6,63,0,351899,-3.10759,-2.51672,-0.721102,-1.22837,-1.68931,1.09341,0.246893,0.707976,1.39752,-0.332973,0.0744865,0.485133,0.354351,-0.461046,-0.497792,0.975146,-0.0950396,0.670147,1.90176,-1.32268,-0.792021,0.819755,0.816781,-0.843505,-0.542104,0.0189807,-0.681939,0.452087,0.0478021,0.891297,0.203744,0.718252,-0.545147,-0.58946,0.0305027,-0.060642,-0.00906465,-0.0335262,-0.0318311,0.00517394,-0.0556026,0.0641512,0.00242428,0.0160287,0.000498406,0.0158374,-0.0117681,0.0254026,-0.0381859,-0.00627668,-0.0129584,-0.0201797,-0.0191244,0.824182,0.156544,1.35666,-0.124343,-0.211813,-0.291296,0.188542,0.0425728,0.122079,0.240981,-0.057416,0.012844,0.0836536,0.0611022,-0.0795001,-0.0858364,0.168149,-0.0163881,0.115556,0.327929,-0.228076,-0.136572,0.141354,0.140841,-0.145449,-0.0934774,0.00327293,-0.11759,0.0779554,0.00824272,0.15369,0.0351324,0.123851,-0.0940021,-0.101643,0.172434
-351861,0.931505,0.0662084,6,63,0,351904,-3.1005,-2.52878,-0.923473,-1.00315,-2.64488,-0.603735,0.49434,0.463346,1.38144,-0.237036,0.0143613,0.392939,0.147304,-0.183701,-0.294638,0.91071,-0.255178,0.519225,1.79563,-0.599734,-1.03503,0.334051,0.626824,-0.43519,-0.112011,-0.0547891,-0.778169,-0.0614367,-0.280909,0.763747,0.440658,0.458408,-0.351297,-0.598582,0.0307381,-0.0648357,-0.0164056,-0.0164145,-0.0351834,0.00170307,-0.0517012,0.0653865,-0.000187482,0.0187612,0.00288264,0.0108655,-0.0146022,0.0332031,-0.0367218,-0.00245128,-0.00964881,-0.0286732,-0.0247217,2.33969,0.279563,1.35986,-0.168781,-0.183343,-0.483399,-0.110343,0.0903494,0.0846847,0.252483,-0.0433225,0.00262478,0.0718165,0.0269225,-0.0335747,-0.0538504,0.166449,-0.0466383,0.0948976,0.328184,-0.109612,-0.189171,0.0610538,0.114563,-0.0795388,-0.020472,-0.0100137,-0.142224,-0.0112286,-0.0513411,0.139588,0.0805381,0.0837822,-0.0642059,-0.109401,0.182768
-351863,0.982227,0.0662084,5,31,0,351889,-3.10659,-2.52667,-0.906799,-0.938618,-2.68968,-0.358172,0.230555,0.625522,1.46499,-0.356823,-0.00988372,0.435191,0.225381,-0.336636,-0.372263,1.05071,-0.225231,0.540111,1.81649,-0.634514,-1.0774,0.311641,0.728166,-0.582735,-0.147251,-0.112659,-0.669121,0.085753,-0.200171,0.832572,0.171257,0.297803,-0.316302,-0.32459,0.0308135,-0.0635192,-0.0135693,-0.0180443,-0.0368975,0.00452462,-0.0520294,0.0671342,-0.00142619,0.0182241,0.00174818,0.0147969,-0.0144403,0.0298239,-0.0357173,-0.00162454,-0.0108002,-0.0280162,-0.025637,3.5779,0.333528,1.36089,-0.159893,-0.165503,-0.474261,-0.0631553,0.0406529,0.110296,0.258317,-0.0629173,-0.00174276,0.0767357,0.0397406,-0.0593579,-0.0656399,0.185267,-0.0397142,0.0952358,0.320296,-0.111882,-0.189974,0.0549506,0.128395,-0.102752,-0.0259642,-0.0198647,-0.117984,0.0151205,-0.0352954,0.146804,0.0301971,0.0525105,-0.0557724,-0.0572339,0.176326
-351868,0.964765,0.0662084,5,63,0,351889,-3.10474,-2.53227,-0.969534,-1.37886,-1.91964,-0.860611,-0.01551,0.509971,1.37261,-0.867063,0.0376203,0.609083,0.799521,-0.356777,-0.36131,0.870547,-0.251486,0.512545,1.5333,-1.15236,-0.702296,0.460258,0.702965,-1.01343,-0.398228,0.31108,-1.15419,0.268733,-0.000279078,1.04115,0.315048,0.708622,-0.365411,-0.514692,0.030773,-0.0668896,-0.0170778,-0.0202947,-0.0417192,0.00304278,-0.0463228,0.0750578,-0.00312275,0.0146048,0.00784161,0.00189619,-0.0107144,0.0289725,-0.0369594,0.00546172,-0.0116001,-0.0253758,-0.0233106,1.39088,0.208355,1.36033,-0.171286,-0.2436,-0.339139,-0.152042,-0.00274013,0.0900955,0.242496,-0.153182,0.00664631,0.107605,0.14125,-0.063031,-0.0638318,0.153798,-0.0444296,0.0905502,0.270886,-0.203586,-0.124073,0.0813128,0.124191,-0.179041,-0.0703541,0.0549579,-0.203909,0.0474764,-4.93041e-05,0.183938,0.0556589,0.125191,-0.0645564,-0.0909296,0.176668
-351884,0.887155,0.0662084,5,31,0,351911,-3.12457,-2.52174,-0.231249,-0.845449,-1.94565,-0.117958,0.422999,0.456966,1.83905,-0.577657,0.221742,0.443122,0.368254,-0.012516,-0.216987,1.21912,-0.0066803,0.797199,2.5095,-0.420506,-1.03735,0.853344,0.855346,-0.0653501,-0.0213368,0.0582437,-0.300189,0.0896072,-0.111516,0.532414,0.268021,0.452705,-0.321423,-1.17298,0.0306869,-0.0659242,-0.0192397,-0.0132511,-0.0311143,0.00796802,-0.0529843,0.0652816,-0.00824749,0.0234845,0.00394786,0.00621927,-0.0092923,0.0238551,-0.0332208,-0.0022193,-0.0120165,-0.0163394,-0.0190665,1.45129,0.199286,1.35916,-0.0382543,-0.139858,-0.321859,-0.0195132,0.0699745,0.0755935,0.304225,-0.0955587,0.0366815,0.0733034,0.0609184,-0.00207045,-0.035895,0.201672,-0.00110509,0.131877,0.415133,-0.069562,-0.171603,0.141164,0.141495,-0.0108105,-0.00352964,0.00963494,-0.0496587,0.0148232,-0.0184475,0.0880745,0.0443374,0.0748886,-0.0531713,-0.19404,0.165425
-351881,0.999874,0.0662084,5,31,0,351913,-3.12601,-2.52139,-0.183189,-0.913243,-1.89711,-0.169477,0.232646,0.394589,1.84045,-0.552305,0.183663,0.462092,0.351017,-0.148843,-0.189327,1.24015,-0.0252922,0.929873,2.52582,-0.479757,-0.985862,0.808029,0.892725,-0.0403717,0.0382259,0.120158,-0.320821,0.0975152,-0.117915,0.669872,0.319176,0.460458,-0.263616,-1.0372,0.0306852,-0.0657257,-0.0193497,-0.0137039,-0.0305138,0.00898722,-0.0536464,0.0632169,-0.00789487,0.0231243,0.00403277,0.00563587,-0.0103158,0.025049,-0.033776,-0.000651416,-0.0147719,-0.0173069,-0.0192431,1.41219,0.205397,1.35914,-0.0316626,-0.157846,-0.327899,-0.0292926,0.0402107,0.0682011,0.318106,-0.095461,0.0317444,0.0798685,0.0606702,-0.0257262,-0.0327235,0.214349,-0.00437154,0.16072,0.436565,-0.0829218,-0.170397,0.139661,0.154299,-0.00697789,0.006607,0.0207682,-0.055451,0.0168546,-0.0203806,0.115781,0.0551666,0.079586,-0.0455637,-0.179271,0.172841
-351877,0.991565,0.0662084,5,63,0,351910,-3.13092,-2.52793,-0.314227,-1.2201,-2.12191,-0.442524,0.144603,0.726474,1.85699,-0.587292,0.159577,0.573912,0.770437,-0.21236,-0.172627,1.07027,-0.0801542,0.843877,2.76427,-0.561913,-1.02206,0.649357,0.90005,-0.192425,-0.123062,0.136334,-0.633433,0.128068,-0.0512994,0.86266,0.111677,0.831351,-0.339561,-1.05783,0.0307727,-0.0655769,-0.0229159,-0.0105849,-0.032925,0.00529171,-0.047862,0.060992,-0.0036776,0.0246336,0.00884123,-0.000129037,-0.015564,0.0262253,-0.0336538,0.0060181,-0.0152452,-0.0182435,-0.0223987,2.49464,0.262906,1.36033,-0.0523046,-0.203092,-0.353202,-0.0736603,0.0240699,0.120925,0.309105,-0.0977576,0.0265624,0.0955305,0.128243,-0.0353484,-0.0287347,0.178151,-0.0133421,0.140467,0.460126,-0.0935331,-0.170127,0.108089,0.149818,-0.0320301,-0.0204842,0.0226935,-0.105438,0.0213175,-0.00853903,0.143594,0.0185893,0.138382,-0.0565216,-0.176081,0.166455
-351872,0.999037,0.0662084,6,63,0,351904,-3.13557,-2.52777,-0.402096,-0.977748,-1.96231,-0.753146,0.804015,0.450691,1.77472,-0.327442,0.628417,0.611913,1.07859,-0.245708,-0.231292,1.42916,-0.0945339,1.0564,1.83011,-1.50232,-0.935788,0.636716,1.01236,-0.692645,-0.303595,0.737647,-0.60943,0.645115,-0.0986488,1.60732,0.489975,0.731543,-0.260103,-0.529553,0.0307877,-0.0531037,-0.0159682,-0.0269288,-0.036329,0.00708104,-0.0571837,0.0599245,-0.00277777,0.0202465,0.00742689,0.0141159,-0.00682959,0.0259933,-0.0358597,0.00150097,-0.00354831,-0.0270647,-0.0260493,2.52904,0.24445,1.36053,-0.0618078,-0.150294,-0.301634,-0.115769,0.123588,0.0692775,0.272799,-0.0503324,0.0965964,0.0940595,0.165794,-0.0377687,-0.0355528,0.219682,-0.0145312,0.162384,0.281313,-0.230928,-0.143844,0.0978722,0.155613,-0.106469,-0.0466668,0.113387,-0.0936779,0.0991632,-0.0151637,0.247067,0.075316,0.112448,-0.0399815,-0.0813996,0.153714
-351877,0.726308,0.0662084,6,63,0,351903,-3.13656,-2.525,-0.879984,-0.985494,-2.13354,0.49192,-0.0768132,1.11757,1.81521,-0.317981,-0.131917,0.658687,0.480228,-0.0892548,-0.092894,1.53845,-0.0399604,0.7142,2.72277,-0.309021,-0.794677,0.992591,0.994961,-0.401218,0.00234111,-0.0308742,-0.85193,0.128705,0.264951,1.04682,0.605345,1.01303,-0.351885,-0.00788473,0.0306754,-0.0711043,-0.0132587,-0.013855,-0.0372939,-0.00326592,-0.0480603,0.074882,-0.00922249,0.0247354,-0.00642279,0.00654554,-0.0104742,0.0286176,-0.0363617,-0.00295572,-0.0137115,-0.0165398,-0.0269403,1.1744,0.171214,1.35901,-0.139029,-0.155699,-0.33708,0.0777188,-0.0121358,0.176565,0.286786,-0.0502382,-0.0208416,0.104066,0.0758717,-0.0141014,-0.0146764,0.243061,-0.00631339,0.112837,0.430172,-0.0488226,-0.125552,0.15682,0.157195,-0.0633887,0.000369875,-0.00487784,-0.134597,0.0203341,0.0418598,0.165388,0.0956391,0.16005,-0.0555947,-0.00124571,0.157991
-351871,0.99031,0.0662084,6,127,0,351902,-3.06897,-2.52361,-1.04764,-1.36603,-2.58201,-0.33435,0.183049,0.550933,1.31699,-1.16125,-0.0034553,0.241243,0.300027,-0.382788,-0.440574,0.685107,-0.362549,0.0200478,2.11557,-0.729676,-1.10091,0.287732,0.570378,-0.616886,-0.777031,-0.139831,-1.14771,-0.110253,-0.544589,0.816076,0.367689,0.56845,-0.474828,-0.620624,0.0305972,-0.0609198,-0.0244691,-0.0264609,-0.0374095,0.000191037,-0.0539619,0.0660896,0.00550866,0.0099752,0.0107273,0.00990533,-0.00644757,0.0286939,-0.0369523,0.00252075,-0.00420925,-0.0189487,-0.017274,0.650717,0.153434,1.35794,-0.199269,-0.259827,-0.491115,-0.0635957,0.0348171,0.104791,0.2505,-0.220877,-0.000657221,0.045886,0.0570671,-0.0728089,-0.0838001,0.130312,-0.0689593,0.00381323,0.402396,-0.138789,-0.2094,0.0547285,0.10849,-0.117336,-0.147797,-0.0265969,-0.218303,-0.0209708,-0.103585,0.155223,0.069937,0.108123,-0.0903155,-0.118047,0.190207
