"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"jer2",0,0,-75284.8606089282,186.552290066597,92.4755163770414,4.97244454544827,150569.721217856,373.104580133195
"jer1",-67.3218139466989,19.1275324898066,-75352.1824228747,186.334325643289,84.0679976846916,4.68890223106961,150704.364845749,372.668651286577
"sinjer",-188.41575894597,34.1150618913788,-75473.2763678747,187.827040468679,26.8858601501414,2.16354811772742,150946.552735749,375.654080937358
"jer2Modi",-327.114565574968,27.6420332766586,-75611.9751745036,194.449752847728,239.412360118006,15.0256565258908,151223.950349007,388.899505695456
