# 0.0137442, 9.42268e-05, 0.169095, 0.0909207, 0.280178, 0.248656, 0.181152, 0.0814388, 0.102504, 0.20784, 0.190766, 0.0827614, 0.127086, 0.0958008, 0.0705898, 0.0594493, 0.0485876, 0.110564, 0.198492, 0.191341, 0.0974091, 0.136173, 0.076842, 0.155063, 0.142975, 0.126888, 0.0987128, 0.0804738, 0.118928, 0.203797, 0.121962, 0.0890711, 0.122856, 0.130592, 0.223295, 0.239959, 0.185826, 0.325856, 0.149523, 0.183201, 7.66335e-05, 5.7079e-05, 5.76004e-05, 5.64273e-05, 5.76697e-05, 5.35832e-05, 5.7297e-05, 5.13125e-05, 5.61684e-05, 5.1276e-05, 6.54933e-05, 3.26651e-05, 2.73994e-05, 2.99932e-05, 3.04581e-05, 2.828e-05, 0.709345, 0.557425, 0.204671, 0.24759
-210437,0.926449,0.0389112,6,63,0,210457,-3.35428,-2.56017,-0.917517,-1.09607,-1.20022,1.23848,-1.4483,0.523934,0.786917,-0.313463,0.569471,0.728696,0.585097,-0.313227,0.0461337,0.712004,-0.601067,0.250912,1.88922,-1.20217,-0.913265,-0.357088,0.260848,-1.5682,-0.446737,1.12476,-1.46405,0.326269,0.351948,0.709889,0.575433,0.899362,-0.519084,0.165792,-0.8442,0.846243,0.861908,-1.61028,0.251333,0.593602,0.0343207,-0.0711965,-0.0325106,-0.0317205,-0.0214288,-0.00446582,-0.0292296,0.0165206,0.0260441,0.0183747,0.0152173,-0.0105727,0.0355506,-0.0222864,-0.000824555,-0.00960619,1.08126,1.95283,0.179464,0.345415,1.40946,-0.158353,-0.189169,-0.207144,0.213747,-0.24996,0.090425,0.135813,-0.0541001,0.0982842,0.125765,0.100981,-0.0540595,0.00796214,0.122884,-0.103737,0.0433045,0.326058,-0.207481,-0.157619,-0.0616292,0.0450193,-0.270653,-0.0771016,0.194122,-0.252679,0.0563103,0.0607421,0.122519,0.0993132,0.15522,-0.089588,0.0286139,-0.208667,0.209172,0.213044,-0.398024,0.0621238,0.146725,0.172589,0.247177
-210444,0.973047,0.0389112,6,63,0,210472,-3.43412,-2.5505,-1.07493,-1.32389,-1.14411,1.2914,-1.66077,0.436778,0.796293,-0.154973,-0.0534919,0.503895,0.664122,-0.615447,-0.397607,0.439441,-0.568233,0.510196,1.41457,-0.908266,-1.30702,-0.0952202,0.601763,-1.71203,-0.601879,0.450107,-1.22841,0.703307,0.904864,0.698289,0.854943,0.80285,-0.908688,0.157627,-0.340921,1.0669,0.943335,-0.796554,0.245665,0.735293,0.0340257,-0.08677,-0.0226144,-0.0252161,-0.0358586,0.000804416,-0.0224316,0.00840785,0.0309485,0.000963539,0.0121109,-0.0121226,0.036252,-0.0206369,0.00219068,-0.00350867,0.766011,1.30295,0.147645,0.334411,1.40531,-0.181335,-0.223333,-0.193006,0.217852,-0.280163,0.0736822,0.134331,-0.0261431,-0.00902381,0.0850046,0.112034,-0.103823,-0.0670744,0.0741314,-0.0958581,0.0860675,0.238631,-0.15322,-0.220487,-0.0160632,0.101514,-0.288811,-0.101534,0.0759308,-0.207227,0.118644,0.152646,0.117798,0.144225,0.135437,-0.153291,0.0265909,-0.0998781,0.312566,0.276365,-0.233363,0.0719714,0.215415,0.168695,0.292965
-210447,0.99356,0.0389112,6,63,0,210476,-3.44619,-2.57354,-1.39807,-0.999078,-1.09823,0.926511,-0.858662,0.524865,0.721579,-1.3635,-0.150071,0.211776,0.314332,-0.63605,0.113834,0.720482,-0.757489,0.410371,2.00759,-2.03225,-0.823372,0.000715251,0.344352,-1.29518,-0.574908,1.25369,-1.64313,-0.0759868,0.668641,1.15022,0.865685,1.12075,-0.455282,-0.197374,-0.564773,1.23455,1.00599,-1.04629,0.428276,1.00365,0.0346474,-0.0610392,-0.0269953,-0.018611,-0.0216079,-0.00140186,-0.0247919,0.00397761,0.031124,-0.00513469,0.0220099,-0.00203581,0.0309194,-0.0354916,-0.0150696,-0.0081576,2.62752,0.958039,0.259149,0.237289,1.41407,-0.223514,-0.159726,-0.175578,0.148125,-0.137277,0.0839121,0.115361,-0.217988,-0.0239924,0.0338573,0.0502534,-0.101688,0.0181991,0.115186,-0.121102,0.0656075,0.32096,-0.324904,-0.131636,0.00011435,0.0550528,-0.207064,-0.0919125,0.200433,-0.262693,-0.0121483,0.106898,0.18389,0.1384,0.179179,-0.0727876,-0.0315549,-0.136918,0.299292,0.243882,-0.253652,0.103827,0.243315,0.159874,0.24243
-210444,0.949159,0.0389112,7,127,0,210470,-3.38637,-2.56322,-1.11597,-1.46334,-2.18268,1.4701,-1.03881,0.383718,0.770759,0.616011,0.398072,0.447731,0.296399,-0.320576,-0.297432,0.612032,-0.657586,0.282438,1.83169,-0.418914,-1.78341,-0.686787,0.565564,-1.94763,-0.667785,0.616996,-1.34258,0.548857,0.44517,0.50807,0.948103,0.873174,-0.463442,0.368979,-0.710951,0.677257,0.493054,-0.685295,0.236875,0.514297,0.0344504,-0.0771521,-0.0173301,-0.0194962,-0.0448525,-0.00562127,-0.0419175,0.0198511,0.02488,0.0161359,0.0118786,-0.0117772,0.0398738,-0.020608,0.0062322,-0.00586959,0.542582,0.370852,0.120929,0.224113,1.41129,-0.183212,-0.24024,-0.358334,0.24135,-0.170544,0.0629957,0.126537,0.101132,0.0653523,0.0735048,0.0486604,-0.0526296,-0.04883,0.100478,-0.107957,0.0463684,0.300713,-0.0687739,-0.292786,-0.112751,0.0928497,-0.319745,-0.109632,0.101293,-0.220415,0.090107,0.0730844,0.0834108,0.155652,0.143351,-0.0760842,0.060576,-0.261641,0.249241,0.181452,-0.252199,0.0871737,0.189269,0.164172,0.368015
-210447,0.895227,0.0389112,7,127,0,210477,-3.35958,-2.5519,-1.0321,-0.657191,-1.03362,0.757424,-0.733186,0.775372,0.797621,-1.08748,-0.117189,0.301904,0.447202,-0.342282,0.194786,0.74725,-0.341914,0.399865,1.81374,-1.74246,-0.602411,0.148993,0.409806,-1.28772,-0.61232,1.06199,-1.26327,0.210847,0.741497,1.16537,0.78867,0.731078,-0.327752,-0.00654728,-0.56326,0.71787,0.457511,-1.37191,-0.0428861,0.39881,0.0341123,-0.0655425,-0.0294144,-0.0179281,-0.0195095,-0.00505734,-0.0186208,0.000684105,0.0316247,-0.0064211,0.0203111,-0.000976085,0.0302331,-0.0350432,-0.0154603,-0.00768438,0.619548,2.27323,0.162261,0.443772,1.40653,-0.212764,-0.135478,-0.213079,0.156141,-0.151144,0.159841,0.164428,-0.22418,-0.0241582,0.0622368,0.0921895,-0.0705606,0.0401546,0.154044,-0.0704848,0.082431,0.373898,-0.359203,-0.124185,0.0307145,0.0844803,-0.26546,-0.126228,0.218927,-0.26042,0.0434655,0.152858,0.240238,0.162582,0.15071,-0.0675652,-0.0013497,-0.165786,0.211292,0.13466,-0.403799,-0.0126228,0.117383,0.206147,0.294332
-210438,0.991089,0.0389112,6,63,0,210475,-3.37298,-2.56623,-1.21767,-1.09375,-1.62973,1.50346,-0.539155,0.421011,0.942827,-0.859571,0.281282,0.680655,-0.162346,-0.671829,-0.0482242,0.60811,-0.679218,0.212236,1.98239,-1.05021,-1.57563,-0.0700287,0.724842,-1.27866,-0.955388,0.768976,-1.04599,0.245525,0.419991,0.383326,1.19394,0.740339,-0.127947,0.23981,-0.695529,0.527978,0.428826,-0.591078,0.0677329,0.418876,0.0344888,-0.0678846,-0.0227846,-0.0232373,-0.0268454,-0.00446531,-0.0137713,0.0106294,0.0215213,0.00181975,0.0209312,-0.00272645,0.0310656,-0.0343469,-0.00686246,-0.00981727,1.68695,0.755988,0.210258,0.366608,1.41183,-0.197121,-0.177059,-0.263826,0.243385,-0.0872801,0.0681545,0.152628,-0.13915,0.0455348,0.110186,-0.026281,-0.108758,-0.00780667,0.0984426,-0.109954,0.0343574,0.320915,-0.170011,-0.255068,-0.0113365,0.11734,-0.206994,-0.154661,0.124484,-0.169329,0.0397463,0.0679894,0.062054,0.193279,0.119848,-0.0207124,0.0388211,-0.293265,0.222618,0.180811,-0.249224,0.0285591,0.176616,0.161883,0.421643
-210435,0.87154,0.0389112,7,127,0,210464,-3.42846,-2.56765,-0.870005,-1.0993,-1.29377,0.722571,-0.899115,0.481374,0.58918,0.31218,0.166585,0.0557041,0.624503,-0.237862,-0.00552713,0.401369,-0.583587,0.438235,1.60306,-1.38371,-0.884874,-0.586334,0.174983,-1.65005,-0.323017,0.98405,-1.48565,0.245885,0.630372,0.939684,0.558981,0.835439,-0.544804,-0.463156,-0.569614,1.16434,0.89521,-0.894277,0.413661,0.848283,0.0345687,-0.0789904,-0.0286796,-0.0182727,-0.0345969,0.00836385,-0.0410448,0.014805,0.0294516,-0.000828254,0.0101992,-0.0101486,0.0361449,-0.0205358,-0.00201526,-0.00705082,0.970129,0.425451,0.186285,0.15827,1.41296,-0.164545,-0.207912,-0.244692,0.13666,-0.17005,0.0910426,0.111432,0.0590429,0.0315064,0.0105354,0.118113,-0.044987,-0.00104535,0.0759112,-0.110374,0.0828838,0.303189,-0.261702,-0.167357,-0.110894,0.0330947,-0.312076,-0.0610925,0.186114,-0.280983,0.0465045,0.119223,0.177723,0.105721,0.158007,-0.103039,-0.0875972,-0.138215,0.282523,0.21722,-0.216994,0.100373,0.205833,0.189131,0.242647
-210437,0.844488,0.0389112,7,127,0,210464,-3.33283,-2.55829,-1.33805,-0.994344,-1.89654,1.18705,-0.998582,0.252459,0.640307,-0.955047,-0.0424039,0.497036,-0.238732,-0.733046,-0.140407,0.400351,-0.684373,0.0328757,1.76009,-1.21681,-1.54476,-0.0367714,0.563081,-1.30522,-0.886641,0.598076,-1.1615,0.130734,0.296226,0.452378,0.950081,0.805475,-0.245846,0.709137,-0.44807,0.378626,0.234796,-0.632498,0.0807356,0.249888,0.0342145,-0.0690197,-0.023203,-0.0274664,-0.0346844,-0.0165607,-0.0273241,0.0093112,0.0284854,0.0251732,0.019383,-0.00087041,0.0364257,-0.0331254,-0.00687196,-0.00724223,0.789814,2.67942,0.157654,0.888949,1.40796,-0.237364,-0.176392,-0.336437,0.210577,-0.177144,0.0447852,0.113588,-0.169421,-0.00752227,0.0881722,-0.0423501,-0.130039,-0.0249075,0.0710206,-0.121405,0.005832,0.312232,-0.215857,-0.274034,-0.00652308,0.0998881,-0.231541,-0.157286,0.106096,-0.206045,0.0231917,0.0525493,0.0802499,0.16854,0.142888,-0.0436121,0.125798,-0.243334,0.205621,0.127511,-0.343491,0.0438451,0.135707,0.177396,0.543071
-210436,0.947399,0.0389112,6,63,0,210466,-3.41795,-2.55735,-1.04155,-1.23577,-1.66489,0.670874,-0.74796,0.392816,0.668147,-0.366904,-0.176008,-0.0687157,0.361189,-0.328482,0.146508,0.598878,-0.522927,0.114373,1.40515,-0.338693,-1.03037,-0.173071,0.744173,-1.27337,-0.374166,0.725932,-1.47328,0.327836,0.482176,1.03929,0.59014,0.709304,-0.466757,0.296315,-0.178753,0.662565,0.470833,-0.437469,0.355475,0.490538,0.0343369,-0.066196,-0.0197486,-0.0187139,-0.0308441,-0.0165138,-0.0212778,0.012074,0.018584,0.0121368,0.0138545,-0.000939926,0.0345505,-0.0287096,-0.00929266,-0.00748949,1.58439,0.963966,0.227012,0.400449,1.40969,-0.187844,-0.222872,-0.300264,0.120993,-0.134895,0.0708447,0.120501,-0.0661714,-0.0317431,-0.0123929,0.0651407,-0.059242,0.0264227,0.108008,-0.0943102,0.0206272,0.25342,-0.0610836,-0.185829,-0.0312135,0.134212,-0.229652,-0.0674811,0.130922,-0.265708,0.0591255,0.0869608,0.187436,0.106432,0.127924,-0.08418,0.0534407,-0.072907,0.270237,0.192036,-0.178428,0.144986,0.200073,0.180351,0.407865
-210440,0.945229,0.0389112,6,63,0,210464,-3.45473,-2.55076,-0.73213,-0.63378,-0.879715,1.09829,-0.59943,0.558984,0.669163,0.297347,0.588797,0.677029,0.0970666,-0.320671,-0.148426,0.508239,-0.454292,0.606551,1.93983,-1.85054,-0.997962,-0.323401,0.245469,-1.26791,-0.295063,0.902584,-0.770336,0.235664,0.550845,0.711351,0.891088,0.851676,-0.18118,-0.290201,-0.136676,0.765641,0.604505,-0.701923,0.220325,0.631647,0.0340223,-0.0681437,-0.0308423,-0.00424726,-0.0288972,0.000419596,-0.036545,0.018031,0.0314026,0.00311287,0.0222245,-0.0171987,0.0333547,-0.0227657,-0.00152647,0.000806627,1.04317,1.30176,0.201285,0.44557,1.40526,-0.144286,-0.124903,-0.173371,0.216448,-0.118134,0.110163,0.131876,0.0586001,0.116038,0.133427,0.0191296,-0.0631967,-0.0292514,0.100162,-0.0895304,0.119537,0.382295,-0.364699,-0.196675,-0.0637349,0.0483763,-0.249876,-0.05815,0.177878,-0.151815,0.0464438,0.108559,0.140191,0.175613,0.167845,-0.0357064,-0.0571918,-0.0533754,0.299003,0.236075,-0.27412,0.0860427,0.246675,0.197077,0.390527
