# 0.0196813, 5.51996e-05, 0.119008, 0.0872881, 0.193737, 0.156093, 0.153294, 0.0591275, 0.0830038, 0.179892, 0.0993156, 0.0531159, 0.0662891, 0.0653219, 0.0496903, 0.0496282, 0.0397741, 0.060157, 0.137605, 0.138325, 0.0777723, 0.074313, 0.0626422, 0.0820247, 0.101475, 0.0756031, 0.0763947, 0.0594283, 0.0765847, 0.12682, 0.0620342, 0.0502033, 0.0891069, 0.0949394, 0.177825, 0.209977, 0.1804, 0.318708, 0.138518, 0.154318, 5.28133e-05, 3.57441e-05, 3.34274e-05, 3.72311e-05, 3.27123e-05, 3.38405e-05, 3.5743e-05, 3.72618e-05, 3.49869e-05, 3.62459e-05, 3.48122e-05, 2.87591e-05, 2.34526e-05, 2.11868e-05, 2.0044e-05, 2.28202e-05, 2.39534e-05, 2.26128e-05, 2.47033e-05, 0.658104, 0.604105, 0.182578, 0.250543
-351540,0.941761,0.0224549,7,127,0,351578,-3.18973,-2.53161,-1.37638,-1.28397,-2.594,-1.33551,0.493616,0.622272,1.57693,-0.469414,0.0895465,0.584995,0.789907,-0.370855,-0.509819,1.13854,-0.247533,0.823873,1.85262,-0.691557,-1.06284,0.724502,1.2193,-0.845025,-0.240136,-0.0491553,-1.07126,-0.0544548,0.365858,0.883301,0.201715,0.706702,-0.253954,-0.759594,-1.73023,0.719942,0.323602,-2.34512,-0.451805,0.127076,0.0308869,-0.0611921,-0.0168831,-0.0249132,-0.0281851,0.0032481,-0.0500264,0.0610387,-0.000715669,0.0178346,0.00599927,0.0181041,-0.00749636,0.0314741,-0.0312949,0.00175944,-0.00502868,-0.0231861,-0.0288609,1.44984,0.858009,0.186058,0.188916,1.36188,-0.212679,-0.1984,-0.400828,-0.206365,0.0762742,0.0961542,0.24367,-0.0725344,0.0138368,0.0903942,0.122058,-0.0573049,-0.0787779,0.175929,-0.0382491,0.127306,0.286269,-0.10686,-0.164231,0.111951,0.188407,-0.130574,-0.0371062,-0.00759555,-0.165533,-0.00841443,0.0565328,0.136489,0.0311693,0.109201,-0.0392413,-0.117373,-0.35288,0.146832,0.0659986,-0.478286,-0.0921455,0.025917,0.154521,0.20395
-351549,0.906859,0.0224549,7,127,0,351580,-3.09416,-2.54516,-1.15863,-1.44295,-2.77787,-0.475896,0.109217,0.875292,1.38269,-0.81648,1.1794,0.613405,0.54564,-0.101683,-0.16305,1.19711,-0.212753,0.781684,2.3155,-1.36249,-1.26168,1.0894,1.3026,-1.30718,-0.882159,0.608072,-0.905059,0.424497,-0.0126038,0.993984,0.360443,1.20303,-0.535694,-0.672968,-1.08149,0.101158,-0.111693,-1.73939,-0.319901,-0.236731,0.0312697,-0.0664103,-0.0133675,-0.0220724,-0.0309949,0.0130627,-0.0476831,0.0750162,-0.00897008,0.019396,0.00177703,0.00476075,-0.00881657,0.0194964,-0.044141,-0.00115059,-0.0120356,-0.0222511,-0.0201516,2.53168,0.569206,0.22725,0.28649,1.36711,-0.16548,-0.206087,-0.396744,-0.0679689,0.0155988,0.125012,0.19748,-0.116612,0.168446,0.0876084,0.07793,-0.0145227,-0.0232873,0.170975,-0.0303861,0.111643,0.330707,-0.194595,-0.180197,0.155591,0.186041,-0.186696,-0.125993,0.0868468,-0.129263,0.0606281,-0.00180011,0.141964,0.0514796,0.17182,-0.0765095,-0.0961155,-0.410676,0.0384128,-0.0424134,-0.660499,-0.121476,-0.0898939,0.142823,0.379731
-351555,0.928107,0.0224549,7,127,0,351577,-3.24038,-2.54477,-1.19653,-1.42984,-2.40498,-1.10032,0.0808553,0.656545,1.63477,-0.338558,-0.695672,0.625893,0.638525,-0.512245,-0.560783,1.21923,-0.184903,1.12062,1.8774,-0.868811,-1.1617,0.256916,1.24063,-0.992312,0.132255,-0.276119,-1.23508,0.0701188,0.0895736,1.54625,0.32498,0.568581,-0.54047,-0.149457,-1.32495,0.841751,0.548748,-1.9292,-0.325457,0.225219,0.0312471,-0.05849,-0.0131633,-0.0190249,-0.0292562,-0.00278099,-0.0503443,0.0644602,-0.00235521,0.015822,0.00418826,0.014017,-0.00978433,0.0323311,-0.0271576,-0.000548264,-0.00467029,-0.022197,-0.0328686,0.85446,0.887866,0.132746,0.231805,1.3668,-0.17183,-0.205335,-0.345372,-0.158014,0.0116114,0.0942847,0.234765,-0.0486194,-0.0999036,0.0898828,0.0916968,-0.0735622,-0.0805326,0.175091,-0.0265535,0.160929,0.269609,-0.124768,-0.166828,0.036895,0.178164,-0.142503,0.0189929,-0.0396527,-0.177366,0.0100696,0.0128634,0.222052,0.0466695,0.0816523,-0.0776155,-0.0214631,-0.32595,0.207078,0.134997,-0.474599,-0.080065,0.0554057,0.143607,0.246008
-351552,0.975537,0.0224549,7,127,0,351590,-3.31074,-2.53906,-1.69004,-1.48132,-2.611,0.0612937,0.318166,0.84772,1.81111,-0.225182,-0.469312,0.787996,0.334604,-0.315349,-0.264002,1.29333,-0.37585,0.813767,2.01253,-0.804034,-1.24685,0.328626,1.37688,-1.41355,-0.521927,0.223317,-1.14617,-0.214481,0.523938,1.23956,-0.0766373,1.0139,-0.172968,-0.636739,-0.766491,1.09234,0.67105,-2.03493,0.042019,0.508916,0.0310781,-0.0656742,-0.00106106,-0.0179607,-0.0377902,0.00614149,-0.0509716,0.0702487,-0.00957244,0.0223469,-0.00657433,0.0137517,-0.0129194,0.0261723,-0.0329798,-0.00495511,-0.0111121,-0.0187966,-0.0270085,0.601943,1.01385,0.100943,0.237713,1.36449,-0.219885,-0.192729,-0.339707,0.0079747,0.0413955,0.110294,0.235637,-0.0292977,-0.0610605,0.102523,0.0435342,-0.041029,-0.0343483,0.16827,-0.0489005,0.105876,0.261844,-0.10461,-0.162224,0.0427563,0.179141,-0.183912,-0.0679061,0.029055,-0.149124,-0.0279054,0.0681678,0.161274,-0.00997101,0.131914,-0.0225042,-0.0828439,-0.180955,0.257883,0.158424,-0.480412,0.00991999,0.120146,0.130106,0.236083
-351554,0.986632,0.0224549,7,127,0,351594,-3.33835,-2.53165,-1.60033,-1.33493,-2.36763,-0.399747,-0.286125,1.03683,1.03327,-0.428266,0.406237,0.470847,0.773268,-0.201047,-0.107077,1.38026,-0.304239,1.02365,2.76079,-1.41768,-1.27556,1.17877,1.45633,-1.39933,-0.353312,0.525037,-1.18264,-0.0316865,-0.013209,0.923298,0.281948,0.707431,-1.11743,-1.47627,-0.800999,1.14944,0.810504,-1.65758,0.294289,0.646395,0.0309505,-0.0604344,-0.0130481,-0.0271899,-0.0247012,0.010006,-0.0463659,0.0698173,0.00228402,0.0100799,0.00902928,0.00245087,-0.00731942,0.026669,-0.0364922,-0.00345784,-0.00457369,-0.0255421,-0.0250667,4.79465,0.699742,0.277046,0.229161,1.36275,-0.20248,-0.168901,-0.299561,-0.0505775,-0.0362016,0.131184,0.130733,-0.0541859,0.0513987,0.0595735,0.0978368,-0.0254373,-0.0135478,0.174636,-0.0384935,0.129516,0.349306,-0.17937,-0.161389,0.149142,0.18426,-0.177049,-0.0447024,0.0664297,-0.149632,-0.0040091,-0.00167125,0.116819,0.0356731,0.0895069,-0.141381,-0.186783,-0.219434,0.31489,0.222038,-0.454095,0.0806206,0.17708,0.126524,0.27395
-351550,0.858343,0.0224549,7,127,0,351581,-3.25698,-2.53314,-1.22894,-1.75816,-2.53382,-0.180641,-0.0676643,0.615363,2.23089,-0.520188,-0.231298,0.976101,0.845701,-0.39473,-0.641416,1.34003,-0.316197,0.931293,1.61867,-0.799385,-1.30676,0.153466,1.32727,-1.29169,-1.18841,0.373908,-1.14349,0.355346,0.410894,1.86512,0.456763,1.17872,-0.0158316,-0.388169,-0.384378,0.306458,0.189311,-0.754313,0.023537,0.124784,0.0310008,-0.0680591,-0.0166942,-0.0178888,-0.0409799,0.00394898,-0.0505804,0.0680538,-0.0118064,0.0240234,0.000950079,0.014358,-0.0113306,0.025665,-0.0348327,0.00241641,-0.0120892,-0.0199632,-0.0254244,0.480377,0.416632,0.0883399,0.455984,1.36344,-0.156638,-0.224091,-0.322954,-0.023024,-0.00862433,0.0784327,0.284344,-0.066302,-0.0294807,0.124411,0.107791,-0.0503114,-0.0817534,0.170797,-0.0403017,0.1187,0.206312,-0.101888,-0.166557,0.0195605,0.16917,-0.164635,-0.151472,0.0476575,-0.145746,0.0452915,0.0523715,0.237724,0.0582179,0.150236,-0.00201786,-0.0494751,-0.271539,0.216493,0.133737,-0.532875,0.0166274,0.088152,0.127458,0.706437
-351554,0.51099,0.0224549,7,127,0,351580,-3.24408,-2.53093,-1.29965,-1.62735,-2.40449,-0.43099,0.0694182,0.620132,2.14923,-0.522916,-0.355541,1.02522,0.817421,-0.35593,-0.675983,1.25465,-0.320745,0.915614,1.66485,-0.712681,-1.25643,0.150635,1.39392,-1.37601,-1.31939,0.446435,-1.06395,0.182724,0.432988,1.8733,0.502204,1.22053,-0.116008,-0.367548,-0.49954,0.404027,0.245859,-1.09689,-0.148343,0.12758,0.0309411,-0.0695619,-0.0175517,-0.0159918,-0.0408185,0.00558281,-0.0453791,0.0674691,-0.0115735,0.0266584,0.00140217,0.0114755,-0.0108334,0.0265458,-0.0362033,0.00272163,-0.0105642,-0.0175446,-0.0291345,0.580114,0.550559,0.0998629,0.36488,1.36262,-0.170401,-0.213368,-0.315261,-0.0565086,0.00910166,0.0813077,0.281793,-0.0685613,-0.0466163,0.134421,0.107175,-0.0466673,-0.0886305,0.164501,-0.042054,0.120049,0.218285,-0.0934421,-0.164735,0.0197503,0.182761,-0.180413,-0.17299,0.0585336,-0.139498,0.0239575,0.0567706,0.245615,0.0658457,0.160028,-0.0152102,-0.0481906,-0.24565,0.198682,0.120902,-0.539401,-0.072948,0.062738,0.131113,0.491754
-351546,0.828314,0.0224549,7,127,0,351577,-3.25324,-2.53185,-0.926078,-1.56539,-2.75336,-0.29129,0.0940471,0.563268,1.9762,-0.626776,-0.501385,0.848407,0.979211,-0.446538,-0.482507,1.2343,-0.223469,0.910314,1.80623,-0.628055,-1.16495,0.530718,1.39454,-1.26487,-0.967129,0.522424,-1.04865,0.231594,0.355789,1.78198,0.254169,1.15152,-0.162252,-0.509787,-0.79787,0.52268,0.287331,-1.39124,-0.01167,0.172566,0.0308759,-0.0717277,-0.0141932,-0.0157756,-0.04094,0.00713193,-0.040764,0.0669573,-0.0117944,0.021901,0.000481034,0.00977772,-0.0111611,0.0279309,-0.0353216,0.00331963,-0.00840067,-0.0179623,-0.0286848,0.81258,1.03778,0.116545,0.415613,1.36173,-0.119731,-0.202387,-0.355977,-0.0376604,0.0121592,0.072824,0.2555,-0.0810349,-0.0648233,0.109689,0.126601,-0.0577321,-0.0623826,0.15958,-0.028892,0.117693,0.233525,-0.0812003,-0.150615,0.0686157,0.180298,-0.163534,-0.125039,0.0675434,-0.135579,0.0299424,0.0459994,0.23039,0.0328611,0.148878,-0.0209773,-0.0659095,-0.325514,0.213242,0.117225,-0.567595,-0.0047611,0.0704031,0.129288,0.407979
-351549,0.892213,0.0224549,7,127,0,351585,-3.23012,-2.53648,-0.792519,-1.44767,-2.93391,-0.257267,0.223736,0.556964,1.66304,-0.407663,-0.281945,0.695041,0.998042,-0.375582,-0.542468,1.39934,-0.387819,0.933932,1.67656,-0.6448,-1.12402,0.674532,1.40094,-1.24047,-0.734781,0.531304,-0.957881,0.197388,0.278632,1.84986,0.273374,1.17848,-0.013491,-0.60067,-0.730403,0.401318,0.284758,-1.28488,-0.0402423,0.166603,0.0309834,-0.0746639,-0.0163901,-0.0183833,-0.0420229,0.00594131,-0.0409896,0.0677405,-0.00775482,0.0204369,0.00197949,0.010539,-0.0126844,0.0230119,-0.0297806,0.00260591,-0.00819492,-0.016368,-0.0297749,1.12544,1.17818,0.13596,0.473371,1.3632,-0.101568,-0.185532,-0.376007,-0.032971,0.0286738,0.07138,0.213134,-0.0522456,-0.0361337,0.0890757,0.127908,-0.0481342,-0.0695222,0.179338,-0.0497025,0.119692,0.214866,-0.0826369,-0.144053,0.0864473,0.179542,-0.158978,-0.0941687,0.0680914,-0.122761,0.025297,0.0357092,0.237076,0.0350354,0.151033,-0.00172899,-0.0769812,-0.318536,0.175018,0.124186,-0.560349,-0.01755,0.0726573,0.128159,0.436109
-351549,0.998415,0.0224549,7,127,0,351590,-3.28759,-2.53727,-0.985266,-1.40987,-2.48315,0.114829,0.0333004,0.7064,1.45833,-1.13731,0.0554779,0.561072,0.98883,-0.267818,-0.345346,1.4347,-0.0179395,1.18634,2.56418,-1.07765,-1.09924,1.11344,1.44082,-0.974012,-0.199074,0.551852,-0.904341,0.27599,-0.257548,1.76897,0.177977,1.23412,-0.126567,-0.545319,-0.783857,0.553894,0.375496,-1.2104,0.0414363,0.260733,0.0310986,-0.06286,-0.0165668,-0.0293176,-0.0383238,-0.00540519,-0.0528201,0.0739902,-0.000597657,0.0201525,0.0100399,0.0101844,-0.0133161,0.0243191,-0.0438917,0.0052353,-0.00797528,-0.0173159,-0.0218613,0.88881,0.434932,0.140521,0.248781,1.36477,-0.146855,-0.210143,-0.370118,0.0171155,0.00496348,0.10529,0.217366,-0.169518,0.00826907,0.0836287,0.147387,-0.0399187,-0.0514744,0.213844,-0.00267391,0.176827,0.382195,-0.160625,-0.163843,0.16596,0.214756,-0.145178,-0.0296722,0.0822544,-0.134793,0.0411367,-0.0383879,0.263668,0.0265277,0.183948,-0.018865,-0.0812806,-0.295695,0.208946,0.141649,-0.456601,0.0156311,0.0983566,0.149052,0.377231
