"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"jer2modi",0,0,-135053.138720919,262.987773162685,247.443156055083,15.3631721711783,270106.277441839,525.97554632537
"jer2",-80.3961191468161,30.5704681536547,-135133.534840066,265.031832536207,105.602075047227,9.67690694638786,270267.069680132,530.063665072414
"jer1",-320.104182517214,48.8875831578959,-135373.242903438,266.847282472596,93.0920835809771,7.76425104059682,270746.485806875,533.694564945192
"sinjer",-539.690115175953,62.12314172932,-135592.828836096,268.215716176895,30.4133503862286,2.68192869966517,271185.657672191,536.43143235379
