# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = ModeloQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/sin_jer.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_1.json
# random
#   seed = 1973430008 (Default)
# output
#   file = /scratch/juandiaz/sinjer/sin_jer_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 b0a4f0db
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,alpha
# Adaptation terminated
# Step size = 0.274637
# Diagonal elements of inverse mass matrix:
# 0.00018062, 9.4794e-05, 8.21808e-05, 4.95433e-05, 5.54846e-05, 5.60937e-05, 5.61022e-05, 4.97406e-05, 5.33863e-05, 5.99657e-05, 4.90335e-05, 4.84085e-05, 4.78422e-05, 2.65288e-05, 2.81251e-05, 3.29088e-05, 2.68625e-05, 2.27954e-05
-210679,0.999295,0.274637,4,15,0,210685,-3.18322,-2.54043,0.0338104,-0.0812831,-0.0225908,-0.0118217,-0.0333068,-0.0081877,-0.0334736,0.0095643,0.0341069,0.00057319,0.00748763,-0.00679581,0.0402139,-0.0257552,-0.00178419,-0.00913725,1.40229
-210679,0.829837,0.274637,4,15,0,210689,-3.17883,-2.54605,0.0337251,-0.0655086,-0.0341495,-0.0204694,-0.0234025,0.000306176,-0.035309,0.0170546,0.00985244,0.00566453,0.0246163,-0.00733068,0.0291932,-0.0311624,-0.00606599,-0.0053842,1.40109
-210681,0.978101,0.274637,4,15,0,210686,-3.1732,-2.54527,0.033676,-0.0622766,-0.0357738,-0.0207869,-0.0239605,-0.00173258,-0.0361671,0.0138978,0.00791746,0.00569505,0.0236981,-0.00753552,0.0281329,-0.0321489,-0.00657026,-0.00468947,1.4004
-210683,0.843444,0.274637,4,15,0,210693,-3.18671,-2.53872,0.0335799,-0.0751726,-0.0205273,-0.0227396,-0.0359557,-0.00563156,-0.0382845,0.0233624,0.0359357,0.0034878,0.0235803,-0.0136694,0.0357743,-0.0272439,-0.00655451,-0.014437,1.39906
-210683,1,0.274637,4,15,0,210692,-3.20446,-2.55068,0.0342475,-0.0692509,-0.0392481,-0.0113817,-0.0245892,-0.00691628,-0.033933,0.00338277,0.00927708,0.00187527,0.0104656,0.000551787,0.0347346,-0.028452,-0.00136221,-0.00285981,1.40843
-210682,1,0.274637,4,15,0,210689,-3.20359,-2.55666,0.0341466,-0.0748315,-0.0378322,-0.00899241,-0.0240753,-0.01007,-0.0379044,-0.00120726,0.0133481,0.00387563,0.00764246,-0.00408599,0.0360129,-0.0279839,-0.00187566,-0.000737673,1.40701
-210681,0.931074,0.274637,4,15,0,210693,-3.16846,-2.54122,0.0337227,-0.0780598,-0.0328196,-0.0122969,-0.0279503,-0.0142062,-0.0318193,0.0162967,0.0221351,0.0174699,0.0269637,-0.00878292,0.0368944,-0.0258932,-0.0111301,-0.00729554,1.40106
-210680,0.999914,0.274637,4,15,0,210687,-3.2007,-2.56481,0.034357,-0.0680541,-0.0287078,-0.0177399,-0.0322658,0.00478355,-0.039253,0.00856074,0.0247167,-0.00757967,0.00772863,-0.00498595,0.0313048,-0.0273443,-0.00175198,-0.00583306,1.40997
-210679,0.971089,0.274637,4,15,0,210689,-3.15741,-2.53568,0.0333654,-0.0774693,-0.0309083,-0.0141297,-0.0310103,-0.00852102,-0.0316838,0.0179964,0.0179594,0.0146769,0.0229297,-0.00811009,0.0395055,-0.0286228,-0.00823828,-0.00783477,1.39606
-210676,0.751201,0.274637,4,15,0,210689,-3.19089,-2.55289,0.0339603,-0.0684264,-0.0292183,-0.0194626,-0.0245082,-0.00616467,-0.0350661,0.0105701,0.0279398,-0.00527928,0.014925,-0.0060517,0.0304529,-0.0264512,-0.00147376,-0.00726697,1.40439
-210680,0.961482,0.274637,4,15,0,210682,-3.18693,-2.54329,0.0337392,-0.0792305,-0.0267346,-0.0102839,-0.0298237,0.00154156,-0.0322548,0.0119222,0.0237896,0.014451,0.0222759,-0.00618762,0.0432933,-0.0318001,-0.0116925,-0.00385224,1.40129
-210685,0.961228,0.274637,4,15,0,210691,-3.18444,-2.54923,0.0339229,-0.0658123,-0.0180713,-0.00290722,-0.0318103,-0.00608626,-0.0175903,0.0138049,0.031486,0.00354337,0.0263956,-0.00623334,0.0360033,-0.0262255,-0.0136628,-0.00558077,1.40386
-210683,0.968999,0.274637,4,15,0,210695,-3.18994,-2.54513,0.0337966,-0.0630847,-0.0282594,-0.029834,-0.0195559,-0.00634935,-0.0317568,0.0148652,0.03274,-0.008275,0.017687,-0.011589,0.03249,-0.0229028,-0.00525386,-0.00473356,1.40209
-210684,0.884944,0.274637,4,15,0,210692,-3.18674,-2.54026,0.0335844,-0.0831396,-0.0308245,-0.00152443,-0.0376387,-0.00327295,-0.0420149,0.00958739,0.0135011,0.0187967,0.0176209,-0.00100078,0.0376719,-0.029263,-0.00325883,-0.00907036,1.39912
-210684,0.97947,0.274637,4,15,0,210696,-3.17714,-2.54687,0.0336465,-0.0719453,-0.00879754,-0.0174482,-0.0377284,-0.0059302,-0.0442223,0.00944803,0.0251536,0.00577015,0.0105833,-0.008899,0.0412817,-0.0341644,-0.000800644,-0.00639843,1.39999
-210679,0.973128,0.274637,4,15,0,210690,-3.17744,-2.53507,0.0336347,-0.0719364,-0.0294458,-0.021523,-0.0231273,-0.00534892,-0.04284,0.0118136,0.0340769,-0.000350984,0.0123027,-0.0132754,0.036078,-0.02845,-0.0008429,-0.00830351,1.39982
-210679,0.977658,0.274637,4,15,0,210685,-3.1788,-2.54783,0.0338665,-0.0694835,-0.0310706,-0.0195102,-0.0252289,0.000862456,-0.0373824,0.0137863,0.0186642,0.00922559,0.0167342,0.00374763,0.0277497,-0.0292142,-0.00503559,-0.00307733,1.40307
-210678,0.836425,0.274637,4,15,0,210687,-3.17663,-2.5374,0.03362,-0.0784688,-0.0304477,-0.0151216,-0.0247478,-0.00144292,-0.0311626,0.0030467,0.0273662,-0.000787657,0.0279908,-0.0064185,0.0400212,-0.0253974,-0.00235835,-0.00559174,1.39962
-210680,0.823133,0.274637,4,15,0,210691,-3.20519,-2.55979,0.0341396,-0.0671299,-0.0300161,-0.0155013,-0.031577,-0.00536117,-0.0334736,0.0264367,0.0204728,0.0107404,0.00677755,-0.00568831,0.0300854,-0.0282218,-0.00698944,-0.0082582,1.40691
-210680,0.997573,0.274637,4,15,0,210686,-3.16929,-2.53681,0.0336437,-0.0693753,-0.0388714,-0.0247845,-0.0186937,-0.00132474,-0.0383976,0.00693295,0.0198202,0.00771241,0.0236203,-0.0097009,0.0303844,-0.0287441,-0.00485846,-0.0031149,1.39995
-210685,0.908922,0.274637,3,7,0,210689,-3.18454,-2.54055,0.0335823,-0.0684442,-0.0337625,-0.0226802,-0.0141018,-0.0063595,-0.0381728,0.00622167,0.0171314,0.0107444,0.0326413,-0.0114265,0.0316989,-0.0285742,-0.00212526,0.00159763,1.39909
-210680,0.996804,0.274637,4,15,0,210694,-3.18293,-2.54764,0.0337732,-0.0713965,-0.0219593,-0.00950678,-0.0292485,-0.00854649,-0.0350161,0.0145024,0.0378025,0.00560859,0.0138174,-0.0096542,0.0358591,-0.0216399,-0.00506101,-0.0142387,1.40176
-210680,0.931304,0.274637,4,15,0,210686,-3.19758,-2.55595,0.0340875,-0.0687834,-0.0284241,-0.0144093,-0.0282369,0.000227064,-0.0357132,0.0257325,0.0163595,0.000674157,0.0239192,-0.00335171,0.0311318,-0.035411,-0.00108942,-0.00378772,1.40618
-210685,0.69853,0.274637,4,15,0,210695,-3.16525,-2.53898,0.0337491,-0.085215,-0.0326438,-0.0168471,-0.0231585,-0.0142474,-0.0286971,0.00427477,0.0338978,0.00242801,0.0121838,-0.00423597,0.0392877,-0.0213604,-0.0043927,-0.00594956,1.40143
-210684,1,0.274637,4,15,0,210690,-3.18933,-2.5548,0.0342371,-0.0597787,-0.0263667,-0.0148864,-0.0381129,0.00154945,-0.0397475,0.0249091,0.0127406,0.00963451,0.0211825,-0.00720437,0.0331803,-0.0279912,0.00200995,-0.00727898,1.40828
-210687,0.916249,0.274637,4,15,0,210699,-3.1607,-2.54542,0.0336093,-0.0922393,-0.0333435,-0.0123464,-0.0301473,0.00249195,-0.0270744,0.00399375,0.0326893,0.00132867,0.0163615,-0.00360931,0.0361628,-0.0273419,-0.0113624,-0.00407534,1.39947
-210680,0.988806,0.274637,4,15,0,210693,-3.19063,-2.54099,0.0337328,-0.0627648,-0.0230844,-0.0179043,-0.0274317,-0.00246072,-0.0401714,0.0247906,0.0164834,-0.000212481,0.0166527,-0.00857071,0.0339193,-0.0231749,-0.000617147,-0.00131442,1.4012
