# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = ModeloQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/sin_jer.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_2.json
# random
#   seed = 1973429972 (Default)
# output
#   file = /scratch/juandiaz/sinjer/sin_jer_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 b0a4f0db
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,alpha
# Adaptation terminated
# Step size = 0.282207
# Diagonal elements of inverse mass matrix:
# 0.000171296, 9.27039e-05, 8.01023e-05, 5.24801e-05, 5.82583e-05, 5.27594e-05, 5.04823e-05, 5.98849e-05, 5.37777e-05, 5.30161e-05, 4.62167e-05, 5.79628e-05, 5.77307e-05, 2.88645e-05, 2.75342e-05, 2.5097e-05, 2.8832e-05, 3.13985e-05
-210686,0.936288,0.282207,4,15,0,210691,-3.20886,-2.55542,0.0343251,-0.0755527,-0.0192391,-0.0122103,-0.0167635,-0.0157126,-0.0326738,0.0154501,0.0327893,0.00567874,0.0238932,-0.0126158,0.0314635,-0.022296,-0.00899148,0.00307089,1.40952
-210682,0.946138,0.282207,4,15,0,210693,-3.1785,-2.53892,0.0337334,-0.0681059,-0.0332003,-0.0173478,-0.0366359,0.00966738,-0.0415635,0.0132263,0.0210036,0.00439874,0.0157012,-0.000678172,0.0379139,-0.0298938,-0.000782887,-0.0174094,1.40121
-210680,0.987897,0.282207,4,15,0,210690,-3.17397,-2.5402,0.033717,-0.0737358,-0.0221203,-0.013091,-0.0352399,-0.00644529,-0.0382868,0.00433324,0.0148688,0.0111179,0.0211397,-0.00601921,0.0305976,-0.0274226,0.00201121,-0.000265227,1.40098
-210677,0.987746,0.282207,3,7,0,210685,-3.1779,-2.54153,0.033742,-0.0713993,-0.0263799,-0.0139499,-0.034128,-0.00825256,-0.0386576,0.00589679,0.0163081,0.00885741,0.0189574,-0.00609826,0.0327229,-0.0270177,0.00189691,-0.00182825,1.40133
-210676,0.858672,0.282207,4,15,0,210682,-3.193,-2.55229,0.0339997,-0.0722508,-0.0256933,-0.0195084,-0.0324255,-0.00470451,-0.0394424,0.0124687,0.0175022,0.00965959,0.013432,-0.00570171,0.0373927,-0.0271662,-0.00477258,0.0012196,1.40494
-210678,0.779154,0.282207,4,15,0,210685,-3.19123,-2.55053,0.0338352,-0.0736961,-0.0379599,-0.0114805,-0.0254211,-0.00683465,-0.028699,0.0137643,0.0255276,0.00399526,0.0218452,-0.0117198,0.0335251,-0.0261313,-0.00495558,-0.0150295,1.40263
-210684,0.907477,0.282207,4,15,0,210690,-3.20225,-2.5641,0.0341893,-0.0632435,-0.0190299,-0.0143422,-0.0277294,-0.00323734,-0.0375632,0.00155734,0.0265949,-0.00256926,0.0254593,0.00246864,0.0358073,-0.033095,-0.00618304,-0.00594606,1.40761
-210681,0.974547,0.282207,4,15,0,210689,-3.16409,-2.53438,0.0334717,-0.0800119,-0.0411171,-0.0165094,-0.0284163,-0.00304144,-0.0359103,0.0251371,0.0192281,0.0115147,0.0114621,-0.0117857,0.034215,-0.021603,-0.00206969,-0.00749216,1.39754
-210679,0.932684,0.282207,4,15,0,210688,-3.19672,-2.55362,0.0340492,-0.0672569,-0.0172133,-0.0183476,-0.0286014,-0.00477463,-0.0338221,0.00343523,0.0266555,-0.00268604,0.0217604,-0.00199586,0.0363225,-0.032992,-0.00692916,-0.0066148,1.40564
-210682,0.945592,0.282207,4,15,0,210686,-3.19487,-2.56361,0.0342308,-0.082214,-0.0416181,-0.00522994,-0.0319092,-0.0107706,-0.030077,0.0201093,0.0238001,0.00778169,0.0145069,-0.0100299,0.0317719,-0.0217214,-0.00254152,-0.00774616,1.40819
-210677,0.89595,0.282207,4,15,0,210685,-3.20569,-2.55164,0.0343225,-0.0774541,-0.0259553,-0.0181731,-0.031435,-0.00439861,-0.0371375,0.0161615,0.0200421,0.00490962,0.0165419,-0.00693836,0.0325035,-0.0253183,-0.00220744,-0.00511119,1.40949
-210682,0.735848,0.282207,3,15,0,210690,-3.16866,-2.54753,0.0338882,-0.074529,-0.0265892,-0.0149264,-0.0287888,-0.00634113,-0.0474431,0.00513926,0.0175359,0.00916645,0.0217263,-0.0107794,0.027874,-0.031171,-0.00323857,-0.00476179,1.40338
-210680,1,0.282207,4,15,0,210688,-3.18164,-2.53065,0.0335362,-0.0719687,-0.0264814,-0.025827,-0.0280794,-0.0109728,-0.0380235,0.0120157,0.0230474,-0.00217456,0.0233408,-0.00429811,0.0370211,-0.022771,-0.00863445,-0.00212196,1.39845
-210680,0.911555,0.282207,4,15,0,210692,-3.20684,-2.55244,0.0342523,-0.0745278,-0.0319722,-0.00693867,-0.0293558,0.000815168,-0.0349217,0.0155469,0.0243717,0.00619009,0.0172501,-0.0119949,0.0323772,-0.0372326,-0.00415649,-0.0100505,1.4085
-210681,0.881689,0.282207,4,15,0,210692,-3.20969,-2.55543,0.0343406,-0.0806112,-0.0271637,-0.0292173,-0.0344796,-0.00784748,-0.0282079,0.0179499,0.0201419,0.00283783,0.0173212,-0.00323759,0.0370203,-0.0212537,-0.00287801,-0.00366779,1.40974
-210687,0.91705,0.282207,4,15,0,210694,-3.1598,-2.54112,0.0335336,-0.0736168,-0.0337789,-0.00650325,-0.0143626,-0.00905504,-0.0421063,0.0226174,0.0209623,-0.000126175,0.0264365,0.000991245,0.0347371,-0.0351844,0.00108322,-0.0114773,1.39841
-210689,0.921178,0.282207,4,15,0,210697,-3.16323,-2.54187,0.0336592,-0.0750653,-0.0227857,-0.0224245,-0.0402279,0.000857818,-0.0232485,-0.00143961,0.0290486,0.00994591,0.0057884,-0.0166392,0.0331666,-0.0244629,-0.00883705,-0.00235301,1.40017
-210680,0.999164,0.282207,3,15,0,210695,-3.1914,-2.53818,0.0338567,-0.0716293,-0.0406104,-0.0191088,-0.0284633,-0.00471007,-0.0350528,0.0229652,0.0187866,0.00684831,0.0126294,-0.00848457,0.0340465,-0.0224634,-0.0101895,-0.00974208,1.40294
-210681,0.979728,0.282207,4,15,0,210688,-3.18259,-2.55177,0.0340395,-0.0850514,-0.0203006,-0.0112948,-0.0262127,-8.77475e-05,-0.0288299,0.00943682,0.0290098,0.000262601,0.0189267,-0.00778092,0.0404756,-0.0321941,-0.0103736,-0.0055551,1.4055
-210682,0.957304,0.282207,4,15,0,210688,-3.18722,-2.53962,0.0339043,-0.0612769,-0.0182569,-0.0190874,-0.0195696,-0.00393753,-0.0335578,0.0134179,0.0214402,0.00736913,0.00765008,-0.000244016,0.0340083,-0.0255022,-0.00182626,-0.00852842,1.4036
-210680,0.995788,0.282207,4,15,0,210687,-3.19101,-2.55942,0.033977,-0.0826966,-0.0291817,-0.0146554,-0.0397443,-0.0029444,-0.0432054,0.00578668,0.0268394,0.00722826,0.0123351,-0.00576855,0.03059,-0.0257229,-0.00134963,-0.00894365,1.40462
-210681,0.976813,0.282207,4,15,0,210690,-3.17279,-2.54333,0.0336135,-0.0755724,-0.0210068,-0.0188195,-0.0270595,0.00409502,-0.0315103,0.0117282,0.0212993,-0.00323217,0.0217155,-0.0027038,0.0415843,-0.027775,0.00569586,-0.00774116,1.39953
-210682,0.98085,0.282207,4,15,0,210690,-3.18096,-2.53753,0.0336906,-0.0739102,-0.0304493,-0.0119739,-0.0270408,-0.0129522,-0.0281089,0.0261899,0.0269351,0.0117355,0.0131822,-0.00553631,0.03263,-0.0327746,0.00467281,-0.0137701,1.40061
-210685,0.975146,0.282207,4,15,0,210693,-3.20174,-2.55102,0.0341447,-0.0754788,-0.0259368,-0.0136246,-0.0392407,0.0027402,-0.0444282,0.00589867,0.0239102,0.00196501,0.0146519,-0.0123799,0.040162,-0.0244348,-0.0171845,-0.00112559,1.40698
-210684,0.998015,0.282207,4,15,0,210692,-3.19121,-2.55095,0.0340165,-0.0786179,-0.024896,-0.0138308,-0.0404168,-0.000662121,-0.0452261,0.0144054,0.0258081,0.0084402,0.017736,-0.00818313,0.0367519,-0.024512,-0.0183858,0.00110074,1.40518
-210681,0.965342,0.282207,4,15,0,210693,-3.18032,-2.54028,0.033609,-0.0716234,-0.0257046,-0.0147361,-0.0327057,-0.00802342,-0.0319894,0.0130286,0.00800755,0.00169022,0.00942169,-0.00617228,0.0372917,-0.028808,0.00634729,-0.0118199,1.39946
-210677,0.989904,0.282207,4,15,0,210686,-3.20094,-2.55452,0.0341732,-0.0786051,-0.0299932,-0.0166618,-0.0301255,-0.00524879,-0.0383217,0.0138078,0.0317357,0.00872725,0.022165,-0.00953611,0.0339255,-0.0229739,-0.00916261,-0.00591326,1.40738
-210677,0.921591,0.282207,4,15,0,210685,-3.18841,-2.55241,0.0339518,-0.070829,-0.0279168,-0.0121575,-0.0298824,-0.00395685,-0.0308412,0.00964163,0.0152538,0.00673183,0.017653,-0.00466838,0.0348392,-0.0365829,0.000731227,-0.00948047,1.40427
-210677,0.938447,0.282207,4,15,0,210682,-3.18443,-2.55072,0.0338476,-0.0755204,-0.031723,-0.0190363,-0.0276117,-0.00591715,-0.0396209,0.017228,0.0308747,0.00325564,0.0161077,-0.0104459,0.0350735,-0.0197432,-0.00852165,-0.00668898,1.40281
-210678,0.779289,0.282207,4,15,0,210686,-3.17454,-2.54225,0.0337072,-0.0693918,-0.0266184,-0.0124359,-0.0319075,-0.00132937,-0.0296079,0.00957849,0.0168512,0.00510433,0.0176238,-0.00336752,0.0348857,-0.03761,-0.000455117,-0.00642244,1.40084
-210678,0.863722,0.282207,4,15,0,210685,-3.20008,-2.54996,0.0340956,-0.0753114,-0.0304619,-0.0177219,-0.0382885,-0.0173243,-0.0375522,0.0120263,0.0286112,0.00906659,0.0237995,-0.0102325,0.036114,-0.0246487,-0.00270793,-0.0060041,1.40629
-210678,0.934323,0.282207,4,15,0,210687,-3.18642,-2.54242,0.0337251,-0.0713718,-0.0286535,-0.0131723,-0.0199705,0.0101109,-0.0352016,0.0144669,0.0185528,0.00811415,0.0117531,-0.00720969,0.0303917,-0.0275104,-0.00302389,-0.00765386,1.40109
-210688,0.830707,0.282207,3,15,0,210692,-3.18539,-2.55231,0.0338009,-0.0671552,-0.0138964,-0.011855,-0.0299478,-0.0185825,-0.0403349,-0.000290944,0.0229681,-0.00447174,0.0281674,-0.00418891,0.027893,-0.0285818,0.00254974,-0.00390898,1.40215
-210691,0.950127,0.282207,4,15,0,210699,-3.17865,-2.53628,0.0337877,-0.0787256,-0.0399209,-0.0192486,-0.0287389,0.0135302,-0.0233517,0.0214062,0.0308299,0.0164095,0.00154115,-0.00702427,0.041861,-0.0268024,-0.0103482,-0.0099139,1.40197
-210683,1,0.282207,4,15,0,210700,-3.17524,-2.54507,0.0339131,-0.0748061,-0.0346978,0.000971373,-0.0330205,-0.00609976,-0.0394192,0.017834,0.0149574,-0.00397159,0.023196,-0.00863688,0.0370188,-0.0239998,0.00184969,-0.00978923,1.40373
-210681,0.98654,0.282207,4,15,0,210695,-3.18323,-2.55326,0.0339717,-0.0781222,-0.02486,-0.0276036,-0.0249006,0.000652036,-0.0335249,0.011534,0.0319547,0.0182842,0.015272,-0.00370352,0.0363985,-0.0328812,-0.00770865,-0.00772446,1.40455
-210682,0.948689,0.282207,4,15,0,210691,-3.21886,-2.56058,0.0344716,-0.0739079,-0.0271318,-0.0196269,-0.0335829,-0.00802167,-0.029686,0.00868934,0.0389799,0.00515848,0.0150016,-0.00360794,0.0331733,-0.0330367,-0.00645857,-0.00414198,1.41159
-210684,0.955865,0.282207,4,15,0,210695,-3.16243,-2.52044,0.033155,-0.0726407,-0.0297189,-0.0128826,-0.026351,0.00171088,-0.0356031,0.0144284,0.00830936,0.000726159,0.0263867,-0.00606542,0.041306,-0.0249355,0.000749514,-0.0056072,1.39313
-210681,0.968205,0.282207,4,15,0,210694,-3.19734,-2.54811,0.0339703,-0.0672167,-0.0215135,-0.0145364,-0.0360671,0.00341854,-0.0387658,0.0224897,0.0338923,-0.000724713,0.0117396,-0.00372827,0.0349909,-0.0291018,0.00140179,-0.00155657,1.40453
-210680,0.94302,0.282207,4,15,0,210688,-3.19002,-2.54335,0.0337245,-0.0841748,-0.0256904,-0.00933308,-0.0309304,-0.002868,-0.0374569,0.00586521,0.0170743,0.00878449,0.0233228,-0.00864678,0.0394281,-0.0227632,0.000473475,-0.00743402,1.40108
-210683,0.94433,0.282207,3,7,0,210692,-3.18528,-2.54186,0.0337279,-0.0855855,-0.0238123,-0.0107243,-0.0306231,-0.00659137,-0.0380188,0.00530437,0.0134999,0.0104832,0.0250336,-0.00934614,0.0406473,-0.0209161,0.00408265,-0.00497996,1.40113
-210686,0.95189,0.282207,4,15,0,210695,-3.20281,-2.55427,0.034139,-0.0565632,-0.0386008,-0.0211147,-0.0300984,-0.00253244,-0.0321951,0.0285546,0.0284755,0.0146877,0.0165978,-0.0068015,0.0358977,-0.0346242,-0.0136363,-0.00945801,1.4069
-210678,1,0.282207,4,15,0,210690,-3.17628,-2.54083,0.0336818,-0.0846538,-0.032104,-0.015828,-0.0220715,-0.0147229,-0.0389338,0.0124918,0.0197906,0.0044816,0.0240204,-0.00345451,0.0349764,-0.0245473,-0.00870214,-0.0077926,1.40048
-210681,0.943893,0.282207,3,15,0,210686,-3.18489,-2.54327,0.0337228,-0.0833666,-0.0339468,-0.00362456,-0.0323685,-0.0125324,-0.0378354,0.0142654,0.0259745,0.00632084,0.0254243,0.00252966,0.0335639,-0.0240332,-0.00648267,-0.00352841,1.40106
-210683,0.868375,0.282207,4,15,0,210694,-3.19308,-2.55428,0.0341164,-0.0615465,-0.0240583,-0.0289844,-0.0284002,0.00327455,-0.0334607,0.00884632,0.0243954,0.00557765,0.00759237,-0.0162586,0.0362149,-0.0333263,-0.00246282,-0.00918233,1.40658
-210683,0.904188,0.282207,4,15,0,210696,-3.19588,-2.54567,0.0338476,-0.0780337,-0.0313463,-0.000595088,-0.0287453,-0.00706542,-0.03854,0.0264843,0.0214432,-0.00459599,0.0241436,0.00134389,0.0343869,-0.0265437,-0.00728066,-0.00234818,1.40281
-210683,0.994433,0.282207,4,15,0,210692,-3.17667,-2.53165,0.0335339,-0.0706249,-0.024377,-0.0297051,-0.0278905,-0.00162624,-0.0305357,0.00459051,0.0254712,0.0145618,0.00803567,-0.0134442,0.0355992,-0.0290153,0.00143972,-0.00120508,1.39841
