lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,mu_l_raw.1,mu_l_raw.2,mu_l_raw.3,mu_l_raw.4,mu_l_raw.5,mu_l_raw.6,mu_l_raw.7,mu_l_raw.8,mu_l_raw.9,mu_l_raw.10,mu_l_raw.11,mu_l_raw.12,mu_l_raw.13,mu_l_raw.14,mu_l_raw.15,mu_l_raw.16,mu_l_raw.17,mu_l_raw.18,mu_l_raw.19,mu_l_raw.20,mu_l_raw.21,mu_l_raw.22,mu_l_raw.23,mu_l_raw.24,mu_l_raw.25,mu_l_raw.26,mu_l_raw.27,mu_l_raw.28,mu_l_raw.29,mu_l_raw.30,mu_l_raw.31,mu_l_raw.32,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,tau,stdnormal,alpha,mu_l.1,mu_l.2,mu_l.3,mu_l.4,mu_l.5,mu_l.6,mu_l.7,mu_l.8,mu_l.9,mu_l.10,mu_l.11,mu_l.12,mu_l.13,mu_l.14,mu_l.15,mu_l.16,mu_l.17,mu_l.18,mu_l.19,mu_l.20,mu_l.21,mu_l.22,mu_l.23,mu_l.24,mu_l.25,mu_l.26,mu_l.27,mu_l.28,mu_l.29,mu_l.30,mu_l.31,mu_l.32,sigma
# Adaptation terminated
# Step size = 0.0790953
# Diagonal elements of inverse mass matrix:
# 0.000775101, 9.15092e-05, 0.182111, 0.0996233, 0.279807, 0.239094, 0.2366, 0.0764586, 0.0853736, 0.213916, 0.155749, 0.0624584, 0.102536, 0.082108, 0.0750959, 0.0389831, 0.0528238, 0.0882054, 0.167159, 0.192137, 0.0991852, 0.112462, 0.0762536, 0.149473, 0.15349, 0.104405, 0.120616, 0.0747402, 0.102863, 0.208464, 0.0990394, 0.0776101, 0.102688, 0.121173, 7.48411e-05, 4.80982e-05, 5.64305e-05, 6.17278e-05, 6.29595e-05, 5.16742e-05, 5.58077e-05, 4.60375e-05, 4.9505e-05, 5.62041e-05, 5.15636e-05, 3.00168e-05, 3.30662e-05, 2.81477e-05, 3.05031e-05, 3.17983e-05, 0.686598, 0.203982
-210532,0.993967,0.0790953,6,63,0,210552,-3.19538,-2.55895,-1.27872,-1.19391,-1.74164,1.13399,-0.84599,0.587341,1.49139,-0.536313,0.383664,0.809063,0.470409,-0.910607,0.281572,0.528454,-0.60034,0.851589,2.03389,-2.03712,-0.899002,-0.802148,0.215898,-1.15764,0.150432,1.16699,-1.08699,0.421291,0.504576,0.980904,0.851033,1.00985,-0.266319,0.0246825,0.034086,-0.0798708,-0.0387545,-0.0166684,-0.0321663,-0.00476371,-0.0379343,0.0102393,0.0354808,0.000936852,0.0275142,-0.0113567,0.0342534,-0.0260724,-0.00712915,-0.0141052,0.606376,0.122457,1.40616,-0.20109,-0.187752,-0.273887,0.178329,-0.133039,0.0923642,0.234534,-0.0843397,0.0603343,0.127232,0.0739757,-0.143201,0.0442795,0.0831037,-0.0944085,0.133919,0.319846,-0.320355,-0.141376,-0.126144,0.0339517,-0.182049,0.0236567,0.183519,-0.170938,0.0662515,0.0793487,0.154255,0.133832,0.158808,-0.0418808,0.00388153,0.157258
-210537,0.8808,0.0790953,6,63,0,210563,-3.20809,-2.551,-1.20581,-0.928324,-1.37422,0.673275,-0.900914,0.761347,1.5944,-0.358541,0.713392,0.66794,0.918644,-1.19249,0.419548,0.566493,-0.537273,0.239149,2.71745,-2.01518,-0.843438,-0.298529,0.522476,-1.51724,-0.446181,1.44337,-1.56935,0.488414,0.322666,1.37628,1.0076,0.661197,-0.201213,0.423266,0.0342198,-0.069487,-0.0231861,-0.0126295,-0.0314703,-0.00267725,-0.0348729,0.00933141,0.0300551,0.0119961,0.0217797,-0.011369,0.0438852,-0.0297439,-0.00622297,-0.00819658,0.698068,0.12729,1.40804,-0.183707,-0.141432,-0.209365,0.102575,-0.137256,0.115992,0.242909,-0.0546242,0.108686,0.101762,0.139957,-0.181677,0.0639188,0.086306,-0.0818544,0.0364348,0.414008,-0.307015,-0.128499,-0.0454813,0.0796,-0.231153,-0.0679764,0.2199,-0.239094,0.0744106,0.0491587,0.209679,0.153509,0.100734,-0.0306552,0.0644852,0.152352
-210541,0.97488,0.0790953,6,63,0,210562,-3.17517,-2.55114,-1.05974,-1.08839,-0.829699,1.1485,-0.798043,0.99471,1.42068,0.070789,0.444954,0.93234,0.530356,-1.43131,0.270714,0.763005,-0.730462,0.745779,2.52859,-1.97513,-1.01054,-0.527237,0.0197515,-1.42187,-0.853721,1.66079,-1.41645,0.695096,0.246619,1.23258,1.24087,0.79742,-0.137914,0.261785,0.0338006,-0.0744713,-0.0279021,-0.0174177,-0.0413773,-0.00616394,-0.0343112,0.004119,0.0245818,0.0176123,0.0165496,-0.0117761,0.0469068,-0.0281148,-0.00532169,-0.0015587,0.755703,0.118543,1.40215,-0.14451,-0.148416,-0.113141,0.156613,-0.108824,0.135642,0.19373,0.00965304,0.0606756,0.127137,0.0723212,-0.195178,0.0369155,0.104046,-0.0996084,0.101697,0.344807,-0.269336,-0.137801,-0.071896,0.00269338,-0.193891,-0.116417,0.226471,-0.193153,0.0947858,0.0336299,0.16808,0.16921,0.108739,-0.0188065,0.035698,0.136364
-210538,0.863215,0.0790953,5,63,0,210570,-3.18972,-2.56459,-0.642795,-1.4738,-1.93823,1.14464,-0.317612,0.484736,1.1373,-0.390619,0.641122,0.177756,0.331679,0.0496855,-0.162608,0.677617,-0.455736,0.561503,1.88237,-0.312418,-1.55955,-0.154079,0.676695,-1.51594,-0.458816,0.756671,-1.72984,0.419871,0.791679,1.0925,0.978273,1.57385,-0.385001,0.429909,0.0341076,-0.0721377,-0.0241682,-0.022029,-0.0229032,-0.00734006,-0.0416626,0.0179009,0.02986,-0.00164633,-0.0026428,-0.00538381,0.0314548,-0.021454,-0.00208681,-0.00881014,1.2873,0.169184,1.40646,-0.0958504,-0.219765,-0.289019,0.170683,-0.0473607,0.0722813,0.169588,-0.0582472,0.0956009,0.0265061,0.0494582,0.00740884,-0.0242473,0.101043,-0.067957,0.0837284,0.28069,-0.0465862,-0.232552,-0.0229754,0.100905,-0.226049,-0.0684163,0.112831,-0.257945,0.0626091,0.118051,0.162907,0.145875,0.234685,-0.0574094,0.0641058,0.149115
-210541,0.990281,0.0790953,5,31,0,210566,-3.2112,-2.56324,-1.53516,-1.13328,-3.05058,1.32041,-0.737653,0.637702,0.876048,-0.011223,0.134218,0.704672,0.293808,-0.44107,0.151848,0.773796,-0.859508,0.371046,2.49684,-0.287886,-1.02199,-0.57405,-0.180148,-1.72636,-0.507305,1.25958,-1.1927,0.360249,1.07881,1.03485,0.746291,0.749194,0.0715159,-0.109524,0.034728,-0.0585297,-0.0187185,-0.0145079,-0.0288863,-0.00651351,-0.0349994,0.00972929,0.0181399,0.0158861,0.00963146,-0.00289968,0.0327304,-0.0339911,-0.0025077,-0.00571266,1.66279,0.19973,1.41521,-0.237781,-0.175534,-0.472505,0.204519,-0.114255,0.0987736,0.135691,-0.00173833,0.020789,0.109147,0.0455079,-0.0683174,0.0235198,0.119853,-0.133129,0.0574713,0.386736,-0.0445907,-0.158295,-0.0889147,-0.0279031,-0.267397,-0.0785765,0.195096,-0.184737,0.0557989,0.167097,0.160289,0.115593,0.116043,0.0110771,-0.0169641,0.15489
-210539,0.956002,0.0790953,6,63,0,210570,-3.20579,-2.58024,-2.13562,-1.31431,-1.75041,1.16399,-0.625049,0.818327,1.19798,-0.232095,0.720628,0.680574,0.309103,-0.487528,0.26561,0.513778,-0.48812,0.496877,2.22366,-1.81174,-1.11397,-0.456829,0.490973,-1.6618,-0.445727,0.898063,-1.47145,0.26823,0.60179,1.30059,0.832976,1.11986,0.208935,-0.0848411,0.0346034,-0.0796751,-0.0268809,-0.0223625,-0.0325796,-0.0103933,-0.0468237,0.0280288,0.0103446,0.00963532,0.0049895,-0.00525574,0.0275461,-0.02207,0.00125906,-0.00875011,1.78788,0.194381,1.41345,-0.310462,-0.191065,-0.254463,0.169213,-0.0908653,0.118963,0.174154,-0.0337404,0.10476,0.0989371,0.0449353,-0.0708735,0.0386125,0.0746896,-0.0709595,0.0722326,0.32326,-0.263378,-0.161941,-0.0664107,0.0713742,-0.241581,-0.0647968,0.130554,-0.213909,0.0389934,0.0874841,0.189071,0.121092,0.162798,0.0303735,-0.0123336,0.145373
-210534,0.998942,0.0790953,6,63,0,210566,-3.18599,-2.54993,0.160262,-1.20991,-1.35106,1.38148,-1.24853,0.255701,1.22854,-0.304969,0.639424,0.484882,0.501745,-0.416285,0.0370097,0.8534,-0.651844,0.291079,1.75634,-0.381005,-1.29241,-0.336313,0.127508,-1.28231,-0.520866,1.65494,-1.39135,0.626011,0.848289,1.13246,1.41539,1.12131,-0.591053,0.401139,0.0338778,-0.0702683,-0.0265162,-0.0153121,-0.0351279,0.00406493,-0.0196767,0.00206701,0.0372557,0.00174281,0.0252926,-0.00892788,0.043491,-0.0334384,-0.0103714,-0.0046413,1.16052,0.151938,1.40323,0.0226032,-0.170645,-0.190552,0.194842,-0.176091,0.0360638,0.173272,-0.0430125,0.0901837,0.0683873,0.0707656,-0.0587124,0.00521982,0.120363,-0.0919354,0.0410534,0.247713,-0.0537366,-0.18228,-0.0474332,0.0179837,-0.180856,-0.0734624,0.233411,-0.196235,0.0882919,0.119642,0.15972,0.199625,0.158148,-0.0833615,0.0565763,0.141039
-210539,0.918128,0.0790953,5,63,0,210563,-3.18881,-2.54779,0.051534,-1.27034,-1.52047,1.19662,-1.46685,0.310943,1.24761,-0.367904,0.794543,0.43221,0.615673,-0.492956,-0.114292,0.749045,-0.538209,0.246714,1.88929,-0.626669,-1.16256,-0.350193,0.153939,-1.40024,-1.03805,1.6063,-1.45527,0.535427,0.663144,1.09647,1.49427,1.16232,-0.827157,0.437947,0.0338245,-0.0705536,-0.0308168,-0.0120829,-0.0337501,0.0102483,-0.0222885,0.00221551,0.0317273,0.000131959,0.0255994,-0.0100818,0.0394618,-0.03372,-0.012302,0.00338868,0.760095,0.121292,1.40248,0.00716956,-0.176733,-0.211532,0.166477,-0.204072,0.0432593,0.173571,-0.0511838,0.110539,0.0601303,0.0856542,-0.0685815,-0.0159006,0.104209,-0.0748771,0.0343236,0.262843,-0.087184,-0.161738,-0.0487199,0.0214164,-0.194805,-0.144416,0.223474,-0.202462,0.0744901,0.0922585,0.152544,0.207887,0.161705,-0.115076,0.0609284,0.139123
-210531,0.962393,0.0790953,5,31,0,210560,-3.18467,-2.54311,-0.101145,-1.50852,-1.94031,1.14637,-1.1784,0.322858,1.085,-0.0754861,0.511145,0.49496,0.427772,-0.269526,-0.123396,0.502113,-0.763448,0.0684538,2.25975,-0.415009,-1.06144,-0.130329,0.209263,-1.11599,-0.502958,1.09375,-1.36683,0.575978,0.814196,1.45247,1.19747,0.982146,-0.389532,0.568312,0.0337073,-0.0765053,-0.0324947,-0.0217123,-0.0323944,-0.00219574,-0.0277788,0.0187521,0.0257524,-0.00401807,0.0171201,-0.00638958,0.03185,-0.0270806,-0.00280793,6.7355e-05,0.457815,0.0967394,1.40084,-0.0144611,-0.21568,-0.277415,0.163901,-0.168481,0.0461604,0.155127,-0.0107926,0.0730806,0.0707667,0.0611605,-0.0385353,-0.0176425,0.0717893,-0.109154,0.00978715,0.323087,-0.0593357,-0.151759,-0.0186337,0.0299193,-0.159558,-0.0719102,0.156378,-0.195422,0.0823502,0.116409,0.207667,0.171207,0.140422,-0.0556932,0.0812542,0.142975
-210540,0.923112,0.0790953,5,31,0,210568,-3.18638,-2.55092,-0.234855,-1.15328,-1.92819,1.66946,-2.04991,0.530212,1.28986,-0.34935,-0.111282,0.720014,0.476644,-0.0758227,0.197016,0.634701,-0.77048,0.603894,2.40017,-0.981019,-1.37426,0.23141,0.541859,-1.434,-0.362247,0.959567,-1.08306,0.498454,1.23969,1.3779,0.947298,0.914677,-0.849815,0.480506,0.0340827,-0.0757292,-0.0270919,-0.0146834,-0.0177964,0.00628658,-0.0270158,0.00904905,0.0292092,-0.0146598,0.0137834,-0.0129304,0.0311045,-0.0250835,-0.000502915,-0.0056144,0.387732,0.0883759,1.40611,-0.0333325,-0.163683,-0.273664,0.236943,-0.290939,0.0752519,0.183067,-0.0495825,-0.015794,0.10219,0.0676491,-0.0107614,0.027962,0.0900819,-0.109353,0.0857095,0.340651,-0.139234,-0.195045,0.0328435,0.0769049,-0.203525,-0.051413,0.136189,-0.153717,0.0707445,0.175947,0.195563,0.134448,0.129818,-0.120612,0.0681972,0.141928
